seeking,r_new,r_old,tot_enc,tot_par
0.000000,0.885408,0.053888,330.000000,291.000000
0.000000,0.883168,0.168752,382.000000,312.000000
0.000000,0.882022,0.157744,392.000000,295.000000
0.000000,0.877912,0.236087,398.000000,293.000000
0.000000,0.869638,0.339554,412.000000,283.000000
0.000000,0.865253,0.134250,367.000000,303.000000
0.000000,0.862894,0.488058,476.000000,294.000000
0.000000,0.860532,0.499527,517.000000,313.000000
0.000000,0.856334,0.152780,371.000000,299.000000
0.000000,0.854123,0.200849,396.000000,314.000000
0.000000,0.852521,0.011799,328.000000,305.000000
0.000000,0.851075,0.173589,377.000000,293.000000
0.000000,0.848661,0.149766,396.000000,311.000000
0.000000,0.845248,0.193298,403.000000,304.000000
0.000000,0.842114,0.101335,362.000000,311.000000
0.000000,0.842063,0.095740,345.000000,294.000000
0.000000,0.836787,0.241221,381.000000,282.000000
0.000000,0.836219,0.151524,355.000000,281.000000
0.000000,0.835254,0.035596,326.000000,291.000000
0.000000,0.834634,0.219238,371.000000,274.000000
0.000000,0.833268,0.095626,329.000000,276.000000
0.000000,0.832042,0.175597,380.000000,297.000000
0.000000,0.831987,0.169135,380.000000,293.000000
0.000000,0.830579,1.067549,671.000000,299.000000
0.000000,0.828123,0.208405,379.000000,279.000000
0.000000,0.820243,0.167166,361.000000,280.000000
0.000000,0.816374,0.161425,341.000000,275.000000
0.000000,0.816167,0.096626,337.000000,284.000000
0.000000,0.814205,0.173101,357.000000,271.000000
0.000000,0.812700,0.062003,317.000000,280.000000
0.000000,0.812178,0.047496,301.000000,265.000000
0.000000,0.811819,0.286600,375.000000,262.000000
0.000000,0.811595,0.265822,389.000000,272.000000
0.000000,0.810166,0.160046,347.000000,279.000000
0.000000,0.807291,0.051544,318.000000,284.000000
0.000000,0.805147,0.176816,361.000000,280.000000
0.000000,0.805115,0.187954,368.000000,278.000000
0.000000,0.802864,0.100661,332.000000,280.000000
0.000000,0.799961,0.178975,346.000000,277.000000
0.000000,0.798424,0.554231,507.000000,286.000000
0.000000,0.796702,0.094629,308.000000,264.000000
0.000000,0.796429,0.146696,321.000000,246.000000
0.000000,0.794652,0.335715,418.000000,271.000000
0.000000,0.794001,0.228480,355.000000,253.000000
0.000000,0.793954,0.151804,337.000000,258.000000
0.000000,0.792901,0.190068,364.000000,285.000000
0.000000,0.792118,0.082546,286.000000,255.000000
0.000000,0.791978,0.073446,327.000000,281.000000
0.000000,0.786330,0.246157,374.000000,272.000000
0.000000,0.784159,0.055512,293.000000,260.000000
0.000000,0.782224,0.153386,319.000000,253.000000
0.000000,0.781681,0.127133,321.000000,275.000000
0.000000,0.778493,0.181273,368.000000,276.000000
0.000000,0.771156,0.015852,263.000000,250.000000
0.000000,0.770840,0.176593,339.000000,274.000000
0.000000,0.766831,0.123119,360.000000,286.000000
0.000000,0.764862,0.101464,307.000000,251.000000
0.000000,0.764732,0.066473,283.000000,252.000000
0.000000,0.758105,0.335006,399.000000,263.000000
0.000000,0.754099,0.159450,316.000000,245.000000
0.000000,0.751791,0.022912,265.000000,249.000000
0.000000,0.750377,0.307976,396.000000,277.000000
0.000000,0.749047,0.100459,324.000000,271.000000
0.000000,0.744711,0.121156,313.000000,251.000000
0.000000,0.744172,0.037139,272.000000,246.000000
0.000000,0.741764,0.076417,277.000000,236.000000
0.000000,0.739306,0.145139,294.000000,232.000000
0.000000,0.738908,0.157835,329.000000,255.000000
0.000000,0.737561,0.390366,412.000000,264.000000
0.000000,0.736931,0.389744,393.000000,247.000000
0.000000,0.735638,0.532070,463.000000,257.000000
0.000000,0.735258,0.162486,347.000000,279.000000
0.000000,0.732039,0.279065,372.000000,263.000000
0.000000,0.726888,0.038473,269.000000,249.000000
0.000000,0.724273,0.066786,221.000000,199.000000
0.000000,0.722984,0.121237,322.000000,261.000000
0.000000,0.719109,0.094671,278.000000,224.000000
0.000000,0.717685,0.302913,373.000000,251.000000
0.000000,0.715802,0.159229,319.000000,258.000000
0.000000,0.705429,0.045758,260.000000,233.000000
0.000000,0.703866,0.031759,269.000000,245.000000
0.000000,0.701180,0.196714,321.000000,236.000000
0.000000,0.700809,0.200575,322.000000,231.000000
0.000000,0.699541,0.464035,420.000000,257.000000
0.000000,0.698105,0.076097,260.000000,229.000000
0.000000,0.694459,0.024446,264.000000,238.000000
0.000000,0.692571,0.259251,383.000000,278.000000
0.000000,0.690916,0.280908,357.000000,236.000000
0.000000,0.689732,0.064732,263.000000,227.000000
0.000000,0.689049,0.034711,278.000000,258.000000
0.000000,0.688921,0.079126,294.000000,243.000000
0.000000,0.683876,0.390793,402.000000,243.000000
0.000000,0.683640,0.184483,325.000000,233.000000
0.000000,0.678768,0.365480,371.000000,223.000000
0.000000,0.676598,0.186319,312.000000,242.000000
0.000000,0.673421,0.229257,318.000000,232.000000
0.000000,0.673110,0.014436,227.000000,218.000000
