seeking,r_new,r_old,tot_enc,tot_par
0.000000,0.549155,0.346204,313.000000,189.000000
0.000000,0.547930,0.174836,274.000000,204.000000
0.000000,0.547920,0.449603,359.000000,200.000000
0.000000,0.547521,0.138139,257.000000,207.000000
0.000000,0.547243,0.185292,266.000000,209.000000
0.000000,0.546380,0.174627,258.000000,191.000000
0.000000,0.546139,0.554174,387.000000,202.000000
0.000000,0.546112,0.313172,321.000000,210.000000
0.000000,0.545655,0.462584,346.000000,187.000000
0.000000,0.545214,0.205793,232.000000,162.000000
0.000000,0.544773,0.767536,469.000000,200.000000
0.000000,0.544324,0.518810,404.000000,217.000000
0.000000,0.544033,0.197444,258.000000,189.000000
0.000000,0.543101,0.116034,236.000000,185.000000
0.000000,0.541852,0.074623,207.000000,183.000000
0.000000,0.541394,0.090783,232.000000,200.000000
0.000000,0.541284,0.171186,263.000000,195.000000
0.000000,0.540812,0.123226,226.000000,182.000000
0.000000,0.540612,0.140582,237.000000,192.000000
0.000000,0.540473,0.039140,204.000000,185.000000
0.000000,0.540326,0.210155,256.000000,196.000000
0.000000,0.539909,0.075078,252.000000,207.000000
0.000000,0.539881,0.328965,301.000000,183.000000
0.000000,0.539791,0.191631,254.000000,186.000000
0.000000,0.538858,0.157034,263.000000,203.000000
0.000000,0.538735,0.172557,274.000000,214.000000
0.000000,0.538344,0.342336,321.000000,207.000000
0.000000,0.538298,0.080233,199.000000,167.000000
0.000000,0.536224,0.188210,253.000000,187.000000
0.000000,0.535040,0.175300,253.000000,179.000000
0.000000,0.534737,0.073967,234.000000,206.000000
0.000000,0.534252,0.069517,198.000000,179.000000
0.000000,0.533082,0.299385,313.000000,204.000000
0.000000,0.532735,0.043011,189.000000,172.000000
0.000000,0.532734,0.415332,333.000000,179.000000
0.000000,0.532677,0.101825,248.000000,211.000000
0.000000,0.532481,0.292353,303.000000,215.000000
0.000000,0.531862,0.169693,255.000000,188.000000
0.000000,0.531662,0.103079,238.000000,206.000000
0.000000,0.531366,0.188303,252.000000,188.000000
0.000000,0.531184,0.306167,277.000000,177.000000
0.000000,0.530907,0.148799,254.000000,207.000000
0.000000,0.530503,0.219833,261.000000,188.000000
0.000000,0.530302,0.148803,268.000000,213.000000
0.000000,0.530090,0.093469,220.000000,183.000000
0.000000,0.529611,0.530908,403.000000,206.000000
0.000000,0.529426,0.370742,318.000000,175.000000
0.000000,0.529036,0.269040,303.000000,193.000000
0.000000,0.527321,0.228302,252.000000,193.000000
0.000000,0.526038,0.134819,230.000000,180.000000
0.000000,0.525695,0.043013,218.000000,197.000000
0.000000,0.525105,0.278208,283.000000,170.000000
0.000000,0.524425,0.341702,316.000000,206.000000
0.000000,0.524287,0.389262,352.000000,207.000000
0.000000,0.524242,0.095189,239.000000,192.000000
0.000000,0.524095,0.180721,241.000000,189.000000
0.000000,0.523934,0.076417,202.000000,178.000000
0.000000,0.523802,0.113772,240.000000,199.000000
0.000000,0.523355,0.163359,228.000000,166.000000
0.000000,0.522585,0.049569,189.000000,164.000000
0.000000,0.522337,0.185332,231.000000,176.000000
0.000000,0.521012,0.427781,355.000000,206.000000
0.000000,0.520845,0.040334,192.000000,178.000000
0.000000,0.520016,0.148287,266.000000,215.000000
0.000000,0.519276,0.059564,238.000000,215.000000
0.000000,0.517834,0.096411,222.000000,184.000000
1.000000,0.517747,0.283857,288.000000,200.000000
0.000000,0.517652,0.296029,316.000000,189.000000
0.000000,0.517499,0.063501,220.000000,207.000000
0.000000,0.517288,0.183289,247.000000,170.000000
0.000000,0.515665,0.125143,231.000000,182.000000
0.000000,0.515149,0.324229,324.000000,199.000000
0.000000,0.514645,0.319401,330.000000,205.000000
0.000000,0.514300,0.271728,287.000000,184.000000
0.000000,0.513784,0.095275,231.000000,195.000000
0.000000,0.512286,0.279829,267.000000,172.000000
0.000000,0.510953,0.151637,246.000000,191.000000
0.000000,0.510572,0.118237,248.000000,204.000000
0.000000,0.510364,0.270438,278.000000,186.000000
0.000000,0.508037,0.119986,236.000000,190.000000
0.000000,0.507039,0.220741,278.000000,203.000000
0.000000,0.506986,0.190930,268.000000,198.000000
0.000000,0.505943,0.163764,244.000000,179.000000
0.000000,0.504711,0.198547,286.000000,199.000000
0.000000,0.504402,0.081024,215.000000,175.000000
0.000000,0.503255,0.520389,395.000000,206.000000
0.000000,0.503215,0.144509,244.000000,196.000000
0.000000,0.503167,0.302726,292.000000,197.000000
0.000000,0.502076,0.245537,274.000000,189.000000
0.000000,0.501245,0.255610,295.000000,210.000000
0.000000,0.500980,0.286929,292.000000,182.000000
0.000000,0.500901,0.128132,237.000000,184.000000
0.000000,0.500461,0.142528,233.000000,185.000000
0.000000,0.500290,0.116696,217.000000,181.000000
0.000000,0.500124,0.262681,268.000000,171.000000
0.000000,0.498627,0.011149,193.000000,189.000000
0.000000,0.498419,0.088573,205.000000,169.000000
0.000000,0.497880,0.141348,240.000000,188.000000
0.000000,0.497017,0.659863,419.000000,195.000000
0.000000,0.496761,0.250309,249.000000,176.000000
0.000000,0.496580,0.305718,299.000000,185.000000
0.000000,0.495958,0.333261,318.000000,192.000000
