seeking,r_new,r_old,tot_enc,tot_par
0.000000,1.094164,0.128680,410.000000,347.000000
0.000000,1.093093,0.012855,382.000000,367.000000
0.000000,1.088571,0.036598,432.000000,399.000000
0.000000,1.088137,0.349357,518.000000,387.000000
0.000000,1.086759,0.272538,493.000000,370.000000
0.000000,1.086212,0.104429,448.000000,391.000000
0.000000,1.085882,0.073098,413.000000,366.000000
0.000000,1.085551,0.266513,511.000000,389.000000
0.000000,1.084811,0.137395,468.000000,401.000000
0.000000,1.084527,0.107359,417.000000,364.000000
0.000000,1.082256,0.141239,465.000000,385.000000
0.000000,1.081907,0.147850,440.000000,370.000000
0.000000,1.077261,0.173341,492.000000,415.000000
0.000000,1.075207,0.135494,459.000000,395.000000
0.000000,1.070861,0.276604,491.000000,386.000000
0.000000,1.070142,0.115613,442.000000,379.000000
0.000000,1.069956,0.399589,547.000000,381.000000
0.000000,1.068783,0.109378,446.000000,379.000000
0.000000,1.068296,0.041640,416.000000,383.000000
0.000000,1.062558,0.317495,519.000000,393.000000
0.000000,1.061490,0.019722,368.000000,342.000000
0.000000,1.058197,0.149938,491.000000,423.000000
0.000000,1.058158,0.247901,488.000000,394.000000
0.000000,1.057649,0.363951,519.000000,375.000000
0.000000,1.055586,0.364067,538.000000,382.000000
0.000000,1.055029,0.462197,572.000000,385.000000
0.000000,1.054626,0.160804,400.000000,330.000000
0.000000,1.053280,0.328256,473.000000,340.000000
0.000000,1.050366,0.607444,590.000000,381.000000
0.000000,1.049432,0.221774,452.000000,374.000000
0.000000,1.049296,0.227823,485.000000,396.000000
0.000000,1.043955,0.273252,485.000000,366.000000
0.000000,1.043724,0.585097,620.000000,414.000000
0.000000,1.043039,0.099087,410.000000,356.000000
0.000000,1.040426,0.023771,395.000000,367.000000
0.000000,1.039491,0.089807,394.000000,354.000000
0.000000,1.038739,0.391348,524.000000,377.000000
0.000000,1.038467,0.170151,430.000000,347.000000
0.000000,1.037861,0.114451,435.000000,384.000000
0.000000,1.036811,0.062896,415.000000,376.000000
0.000000,1.034276,0.217280,440.000000,358.000000
0.000000,1.030041,0.300630,525.000000,391.000000
0.000000,1.029671,0.149548,433.000000,368.000000
0.000000,1.027191,0.135138,428.000000,364.000000
0.000000,1.026327,0.090574,393.000000,354.000000
0.000000,1.023391,0.192715,428.000000,347.000000
0.000000,1.023015,0.077624,377.000000,341.000000
0.000000,1.022864,0.144648,429.000000,359.000000
0.000000,1.020770,0.280531,485.000000,371.000000
0.000000,1.019394,0.062171,382.000000,348.000000
0.000000,1.017418,0.203249,457.000000,369.000000
0.000000,1.015985,0.201487,423.000000,340.000000
0.000000,1.015363,0.465634,545.000000,363.000000
0.000000,1.014579,0.420679,512.000000,356.000000
0.000000,1.012294,0.140498,423.000000,365.000000
0.000000,1.012035,0.116565,409.000000,355.000000
0.000000,1.007935,0.106192,402.000000,351.000000
0.000000,1.006091,0.288894,482.000000,371.000000
0.000000,1.004716,0.351648,476.000000,354.000000
0.000000,1.004195,0.079553,382.000000,338.000000
0.000000,1.003247,0.372159,491.000000,350.000000
0.000000,0.996167,0.258624,466.000000,368.000000
0.000000,0.995340,0.174418,428.000000,354.000000
0.000000,0.993904,0.270271,443.000000,343.000000
0.000000,0.989972,0.200598,439.000000,347.000000
0.000000,0.988489,0.127074,433.000000,362.000000
0.000000,0.988025,0.223019,421.000000,344.000000
0.000000,0.987902,0.268863,457.000000,359.000000
0.000000,0.986875,0.067157,383.000000,356.000000
0.000000,0.985761,0.248842,410.000000,315.000000
0.000000,0.984955,0.134109,393.000000,337.000000
0.000000,0.983906,0.234985,479.000000,358.000000
0.000000,0.982941,0.281585,460.000000,340.000000
0.000000,0.982529,0.068421,378.000000,333.000000
0.000000,0.982122,0.084420,359.000000,328.000000
0.000000,0.981172,0.326968,496.000000,355.000000
0.000000,0.979958,0.180441,441.000000,356.000000
0.000000,0.979012,0.335790,507.000000,368.000000
0.000000,0.977455,0.175152,429.000000,362.000000
0.000000,0.974865,0.132698,379.000000,314.000000
0.000000,0.972209,0.052097,386.000000,344.000000
0.000000,0.971522,0.071871,377.000000,342.000000
0.000000,0.970188,0.123127,407.000000,340.000000
0.000000,0.970049,0.184779,458.000000,375.000000
0.000000,0.969143,0.177440,417.000000,342.000000
0.000000,0.968709,0.757417,602.000000,323.000000
0.000000,0.967899,0.240866,436.000000,344.000000
0.000000,0.966729,0.154776,366.000000,295.000000
0.000000,0.966167,0.235842,427.000000,336.000000
0.000000,0.964370,0.297144,450.000000,342.000000
0.000000,0.964363,0.228055,406.000000,326.000000
0.000000,0.964062,0.130034,375.000000,320.000000
0.000000,0.962587,0.052657,340.000000,310.000000
0.000000,0.957134,0.060916,382.000000,348.000000
0.000000,0.957019,0.081728,360.000000,327.000000
0.000000,0.955904,0.052559,368.000000,341.000000
0.000000,0.955393,0.057428,377.000000,337.000000
0.000000,0.953494,0.342832,482.000000,347.000000
0.000000,0.951874,0.131370,369.000000,313.000000
0.000000,0.951158,0.085000,402.000000,355.000000
0.000000,0.947443,0.220005,450.000000,364.000000
0.000000,0.946488,0.120046,404.000000,346.000000
0.000000,0.945439,0.048513,344.000000,316.000000
0.000000,0.944982,0.102907,382.000000,331.000000
0.000000,0.942529,0.087061,365.000000,322.000000
0.000000,0.941913,0.199718,411.000000,339.000000
0.000000,0.941426,0.334603,421.000000,298.000000
0.000000,0.941195,0.077917,362.000000,322.000000
0.000000,0.940220,0.143921,389.000000,319.000000
0.000000,0.940021,0.531612,540.000000,346.000000
0.000000,0.938835,0.055225,351.000000,327.000000
0.000000,0.935639,0.530563,532.000000,328.000000
0.000000,0.935304,0.125604,378.000000,320.000000
0.000000,0.934958,0.044469,344.000000,316.000000
0.000000,0.934784,0.408035,468.000000,325.000000
0.000000,0.932808,0.384793,473.000000,330.000000
0.000000,0.932501,0.116842,323.000000,283.000000
0.000000,0.930155,0.058627,326.000000,299.000000
0.000000,0.929501,0.136539,407.000000,352.000000
0.000000,0.929356,0.013270,374.000000,362.000000
0.000000,0.928991,0.557118,549.000000,327.000000
0.000000,0.925178,0.269636,433.000000,338.000000
0.000000,0.924880,0.139037,416.000000,349.000000
0.000000,0.924414,0.177410,425.000000,339.000000
0.000000,0.924338,0.125418,377.000000,319.000000
0.000000,0.922594,0.308601,448.000000,336.000000
