rows,cols,strengths
0,142,1
0,883,1
0,2429,2
0,3079,1
0,5930,1
0,9371,1
0,9541,1
0,23999,2
0,30519,2
0,75636,1
1,598,1
1,1005,1
1,2923,1
1,3108,1
1,5446,1
1,7464,1
1,11104,2
1,14942,1
1,16152,1
1,17800,1
1,19823,2
1,21177,4
1,37065,1
1,65065,1
2,332,1
2,572,1
2,1340,1
2,1368,1
2,1393,2
2,1650,1
2,2022,1
2,2118,2
2,3518,1
2,5332,1
2,5823,1
2,5937,1
2,6934,1
2,8304,1
2,15026,1
2,26264,1
2,113710,1
3,16,1
3,25,1
3,55,1
3,70,1
3,296,2
3,621,1
3,859,1
3,1266,1
3,1447,1
3,2383,1
3,12946,1
3,23311,1
3,32991,2
3,82595,1
4,12,1
4,244,1
4,441,1
4,586,1
4,830,1
4,1293,1
4,1597,1
4,2046,1
4,3076,1
4,3258,1
4,5268,1
4,12638,1
4,22369,2
4,26320,1
4,63553,1
4,143406,1
5,225,1
5,692,1
5,1012,1
5,1770,1
5,2097,1
5,2496,1
5,3968,1
5,4722,1
5,5081,1
5,29390,2
6,463,1
6,514,1
6,584,1
6,604,1
6,822,1
6,1486,1
6,2722,1
6,3516,1
6,5627,1
6,7190,1
6,11709,1
6,33507,1
6,106056,2
6,106126,1
7,10,1
7,658,1
7,926,1
7,1084,1
7,6509,1
7,6616,1
7,8478,1
7,26419,1
7,26967,1
7,36552,1
8,106,1
8,111,1
8,134,1
8,366,1
8,424,1
8,448,1
8,601,1
8,617,1
8,815,1
8,980,1
8,2388,1
8,9047,1
8,21182,1
8,22003,1
8,38768,1
9,206,1
9,858,1
9,867,1
9,6375,1
9,8647,2
9,10248,2
9,23234,1
9,25375,1
9,43122,3
10,12,1
10,35,1
10,85,1
10,405,1
10,750,1
10,920,1
10,1071,1
10,1167,2
10,1319,2
10,2223,1
10,4025,1
10,5139,1
10,5408,1
10,8624,1
10,29845,2
10,29882,2
10,31076,1
10,31321,1
10,33132,2
10,106495,1
11,43,1
11,87,1
11,259,1
11,343,1
11,720,1
11,2457,1
11,83454,3
11,85680,1
12,179,1
12,1797,1
12,2806,1
12,2860,1
12,3685,1
12,4176,1
12,4605,1
12,6428,1
12,9776,1
12,16685,1
12,62136,1
13,27,1
13,322,1
13,595,1
13,2130,1
13,2764,1
13,4819,1
13,8112,1
13,12511,1
13,14236,1
13,15155,1
13,17832,2
14,86,1
14,106,1
14,605,1
14,855,1
14,1218,1
14,1264,1
14,1883,1
14,2290,1
14,4115,1
14,9066,1
14,15558,1
14,18993,1
15,131,1
15,4607,1
15,4758,1
15,5200,1
15,9713,1
15,11293,1
15,26664,1
15,45198,1
15,48560,1
15,65807,1
15,150618,1
16,13,1
16,264,1
16,391,1
16,3027,1
16,3697,1
16,11493,1
16,11967,4
16,18647,1
16,102126,3
17,49,1
17,242,1
17,1057,1
17,1081,1
17,2582,1
17,2599,1
17,2890,1
17,3395,1
17,4462,1
17,4861,1
17,6103,1
17,6271,1
17,7188,1
17,8449,1
17,9623,1
18,345,1
18,765,1
18,2800,1
18,5915,3
18,33133,4
18,158331,1
19,95,1
19,269,1
19,899,1
19,1677,1
19,2715,1
19,2820,1
19,5566,1
19,10198,1
19,10635,1
19,38825,1
19,44602,1
19,78195,1
20,173,1
20,475,1
20,2011,1
20,2435,1
20,8085,1
20,9232,1
20,14187,1
20,17255,2
20,29955,2
21,1,1
21,563,1
21,582,1
21,2142,1
21,2272,1
21,3282,1
21,4019,1
21,4143,1
21,6575,1
21,6860,1
21,6939,1
21,7301,1
21,10799,1
21,10984,1
21,17762,1
21,24679,1
21,61373,1
22,62,1
22,163,1
22,379,1
22,646,1
22,844,1
22,985,1
22,1246,1
22,1886,1
22,2289,1
22,2381,1
22,3130,1
22,3610,1
22,3881,1
22,7623,3
22,7671,1
22,9517,1
22,26489,2
23,515,1
23,527,1
23,1232,1
23,1913,1
23,2413,1
23,7746,2
23,7854,1
23,12486,1
23,52440,1
24,32,1
24,151,1
24,422,1
24,917,1
24,989,1
24,1502,1
24,1593,1
24,1627,2
24,2847,1
24,3128,1
24,5010,1
24,5677,1
24,8244,1
24,8624,1
24,8746,1
24,11014,1
24,11679,1
24,44169,1
24,70231,1
25,1492,1
25,1944,1
25,4723,1
25,16886,2
25,33518,1
26,1502,1
26,1881,1
26,3631,1
26,5873,1
26,13779,1
26,15177,2
26,73176,2
27,35,1
27,53,1
27,1535,1
27,1818,1
27,1864,1
27,3160,1
27,3673,1
27,4965,2
27,5177,1
27,5889,1
27,35675,1
28,749,1
28,1262,1
28,1542,1
28,1661,1
28,1737,1
28,1775,1
28,1831,1
28,2057,1
28,5596,1
28,6133,1
28,7965,1
28,10748,2
28,16507,1
28,21910,1
28,28239,2
28,38392,1
29,1594,1
29,3535,2
29,3609,1
29,5461,1
29,6200,1
29,6434,1
29,7896,2
29,9101,1
29,15379,1
29,16033,1
29,77729,1
30,24,1
30,34,1
30,103,1
30,580,1
30,825,1
30,1346,1
30,2119,1
30,2451,1
30,4297,1
30,5166,1
30,12663,1
30,16177,1
30,46369,1
31,3736,1
31,5265,1
31,10440,1
31,10920,1
31,14153,1
31,74978,1
32,127,1
32,872,1
32,9552,1
32,36697,1
32,52072,1
33,91,1
33,278,1
33,477,1
33,886,1
33,1158,1
33,1360,1
33,2854,1
33,5249,1
33,7686,1
33,8712,1
33,9890,1
33,12735,1
34,267,2
34,381,1
34,894,1
34,1040,1
34,3113,1
34,3911,1
34,4179,1
34,4795,1
34,34834,1
34,38643,1
34,67571,1
34,73765,4
35,169,1
35,276,1
35,319,1
35,1862,1
35,3080,2
35,4043,1
35,8088,1
35,87482,1
36,2444,1
36,3337,1
36,3740,1
36,4264,1
36,7006,1
36,12696,1
36,14728,1
36,19406,1
36,23178,1
37,629,1
37,647,1
37,1535,1
37,3528,1
37,3976,1
37,4103,1
37,4245,1
37,4337,1
37,4579,1
37,4806,1
37,8497,1
37,9790,2
37,13965,1
37,26242,1
38,21,1
38,280,1
38,626,1
38,774,1
38,842,1
38,1113,1
38,1981,1
38,2180,1
38,2613,1
38,3739,1
38,3986,1
38,5612,1
38,8342,1
39,689,1
39,1506,1
39,2972,1
39,4307,1
39,4614,1
39,11720,1
39,34986,1
39,39996,2
40,4,1
40,320,1
40,526,1
40,691,1
40,1101,1
40,1796,1
40,1997,1
40,2108,1
40,3007,1
40,3975,1
40,5691,1
40,7360,1
40,7645,1
40,8904,1
40,16106,1
40,33454,1
40,62344,1
40,110817,1
40,139309,2
41,9,1
41,37,1
41,424,1
41,1614,1
41,1648,1
41,2309,1
41,6047,1
41,7204,1
41,15509,2
41,16478,2
41,17504,1
41,147524,2
42,359,1
42,587,1
42,741,1
42,1531,1
42,3242,1
42,3369,1
42,5725,1
42,42100,2
43,855,1
43,1001,1
43,1160,1
43,1780,1
43,2784,1
43,4862,1
43,6238,1
43,6307,1
43,10205,1
43,11880,1
43,22593,1
43,23631,1
43,53659,1
43,139383,1
44,133,1
44,1718,1
44,2345,1
44,2909,1
44,5510,1
44,7412,1
44,10560,1
44,14469,1
44,31439,2
44,41851,1
44,82526,1
45,380,1
45,627,1
45,1073,1
45,1406,1
45,1880,1
45,2449,1
45,2776,1
45,2909,1
45,4036,1
45,8349,1
45,9738,1
45,15447,1
45,40362,1
45,79230,1
46,221,1
46,811,1
46,959,1
46,3057,1
46,4878,1
46,14363,1
46,14646,1
46,17711,1
46,18753,1
46,45613,1
46,100853,1
47,2,1
47,528,1
47,845,1
47,871,1
47,1988,1
47,2294,1
47,3388,1
47,7802,2
47,7946,1
47,8799,1
47,13757,1
47,19316,2
47,24801,1
47,48243,1
48,203,1
48,1202,1
48,1381,1
48,3351,1
48,5616,1
48,6342,1
48,8628,1
48,9602,1
48,13491,1
48,15434,1
48,18193,1
48,33048,1
49,51,1
49,742,1
49,1319,1
49,3859,1
49,25244,1
49,32093,1
49,157035,2
50,111,1
50,127,1
50,233,1
50,399,1
50,953,1
50,1321,1
50,1863,1
50,2434,1
50,2969,1
50,3681,3
50,3917,1
50,7659,3
50,133076,2
51,299,1
51,661,1
51,1111,1
51,1635,1
51,1959,1
51,5525,1
51,10333,1
51,11357,1
51,11803,2
51,28562,1
52,785,1
52,2035,1
52,2053,1
52,2108,1
52,2150,1
52,4299,1
52,8961,1
52,16022,1
52,34450,1
53,147,1
53,304,1
53,451,1
53,2459,2
53,3016,1
53,3860,1
53,4343,1
53,4593,1
53,15221,2
53,17331,1
53,54967,2
53,67077,1
53,67396,1
54,97,1
54,253,1
54,355,2
54,359,1
54,929,1
54,1034,1
54,1506,1
54,4011,1
54,6246,1
54,6464,1
54,7377,1
54,9174,1
54,16014,1
54,16639,5
54,33154,1
54,88877,1
54,94342,1
54,150914,1
55,289,1
55,484,1
55,605,1
55,625,1
55,832,1
55,1138,1
55,1900,1
55,2106,1
55,2268,1
55,3152,1
55,6822,1
55,6993,1
55,9538,1
55,14816,1
55,15282,1
55,15368,2
55,22059,1
55,44988,2
55,59004,1
55,80013,1
55,161170,3
56,231,1
56,249,1
56,264,2
56,554,1
56,634,1
56,789,2
56,931,1
56,1078,2
56,2545,1
56,3816,1
56,10142,1
56,13801,1
56,20775,1
56,24745,1
56,27910,2
57,106,1
57,288,1
57,1408,1
57,1901,1
57,4433,1
57,7516,3
57,12146,1
57,19173,1
57,129965,1
58,399,1
58,615,1
58,1284,1
58,4797,1
58,11243,1
58,15225,2
58,16630,1
58,24402,1
58,60155,1
59,52,1
59,424,1
59,452,1
59,1143,1
59,1203,1
59,2590,1
59,2795,1
59,5551,1
59,8278,1
59,9335,1
59,17071,1
59,19487,1
59,29883,1
60,48,1
60,105,1
60,106,1
60,1558,1
60,2631,1
60,4673,1
60,5944,1
60,12647,1
60,21678,1
60,21979,1
60,59475,1
61,156,1
61,625,1
61,706,1
61,1865,1
61,1936,1
61,2411,1
61,3420,1
61,5880,1
61,8985,1
61,36551,1
62,162,1
62,241,1
62,307,1
62,364,1
62,762,2
62,763,1
62,3352,1
62,3605,1
62,3670,1
62,6665,1
62,8776,1
63,38,1
63,1948,1
63,2955,1
63,4876,1
63,11937,1
63,23170,1
63,56222,2
64,397,1
64,1506,1
64,1640,1
64,3194,1
64,3673,1
64,3848,1
64,9991,1
64,14918,1
64,17997,1
64,36518,1
65,613,1
65,844,1
65,1542,1
65,1599,1
65,1684,1
65,1837,1
65,2808,1
65,4426,1
65,7073,1
65,10995,1
65,19593,1
65,26866,2
65,41439,1
66,694,1
66,2313,1
66,3125,1
66,11179,1
66,13345,1
66,61939,1
67,113,1
67,731,1
67,1077,1
67,1110,1
67,1192,1
67,1238,1
67,1348,1
67,2252,1
67,3019,1
67,4900,1
67,6233,1
67,7780,1
67,9329,1
67,78376,1
68,71,1
68,73,1
68,155,1
68,824,1
68,1313,1
68,1346,1
68,1658,1
68,2306,1
68,2480,1
68,3677,1
68,4805,1
68,16790,1
68,25533,1
68,30813,1
69,41,1
69,702,1
69,704,1
69,886,1
69,1002,1
69,1529,1
69,1977,1
69,4080,1
69,11183,1
69,16203,1
69,20949,1
69,24833,1
69,49242,2
70,79,1
70,100,1
70,940,1
70,1300,2
70,2426,1
70,3134,1
70,4211,2
70,4764,1
70,7082,1
70,54306,1
71,143,1
71,794,1
71,867,1
71,1258,1
71,2361,1
71,2593,1
71,3548,1
71,4782,1
71,7320,1
71,8633,1
71,8824,1
71,34987,1
71,41892,1
71,55758,2
72,76,1
72,79,1
72,97,1
72,108,1
72,368,1
72,2287,1
72,5803,1
72,15247,1
72,24118,1
72,30199,1
73,46,1
73,68,1
73,924,1
73,1075,1
73,1210,1
73,1267,1
73,1664,1
73,2265,1
73,2562,1
73,3050,1
73,12076,1
73,25849,1
73,57538,2
74,48,1
74,276,1
74,856,1
74,904,1
74,1748,1
74,2900,1
74,2913,1
74,2994,1
74,6531,1
74,26038,1
74,44640,1
75,1131,1
75,1149,1
75,1309,1
75,1327,1
75,1883,1
75,2448,1
75,3601,1
75,3760,1
75,10979,2
75,11154,2
75,23345,2
75,77874,2
76,24,1
76,233,1
76,1322,1
76,1436,2
76,1504,1
76,1761,1
76,2915,1
76,3506,1
76,4722,1
76,4917,1
76,8824,3
76,10266,1
76,13728,1
76,31211,3
76,37803,2
76,114669,1
77,198,1
77,283,1
77,536,1
77,847,1
77,977,1
77,1035,1
77,1376,1
77,1672,1
77,2295,1
77,3308,1
77,3754,1
77,4820,1
77,6790,1
77,7285,1
77,8918,1
77,16090,1
77,28251,1
77,32311,1
77,41171,1
77,73102,1
77,75037,2
78,301,1
78,1494,1
78,1566,1
78,3079,1
78,3522,1
78,3745,1
78,4730,1
78,7130,1
78,21475,1
78,31082,1
78,64704,1
78,142969,1
79,94,1
79,268,1
79,375,1
79,715,1
79,782,1
79,1030,1
79,1365,1
79,1627,1
79,1783,1
79,2317,2
79,2749,1
79,5464,1
79,8772,1
79,21626,2
80,53,1
80,385,1
80,956,2
80,2328,1
80,2431,1
80,2479,1
80,3236,1
80,12834,1
80,14326,1
80,17023,1
80,36179,2
81,933,2
81,1514,1
81,1952,1
81,1991,1
81,2128,1
81,2648,1
81,3301,1
81,3565,2
81,4086,1
81,5418,1
81,6084,1
81,11472,3
81,15179,1
81,15464,1
81,20452,1
81,33854,2
81,36471,3
81,120050,1
82,1131,1
82,1216,1
82,1709,1
82,5842,1
82,10015,1
82,11853,1
82,94610,1
82,133999,1
83,62,1
83,451,1
83,850,1
83,1590,1
83,3459,1
83,5138,1
83,9212,1
83,18315,1
83,24196,1
83,27192,1
84,152,1
84,228,1
84,672,1
84,2441,1
84,3662,1
84,6241,1
84,6963,1
84,10552,2
84,10802,1
84,20098,2
84,22036,1
84,29805,1
84,91862,1
85,681,1
85,2475,1
85,3354,2
85,4111,1
85,5932,1
85,6101,1
85,8398,1
85,15081,1
85,15507,1
85,33957,1
85,51754,1
86,138,1
86,204,1
86,609,1
86,853,1
86,1218,1
86,1453,1
86,2198,2
86,5798,1
86,6674,1
86,7247,1
86,8066,2
86,8466,1
86,17288,1
86,38326,1
86,99423,2
87,340,1
87,836,1
87,1226,1
87,3090,1
87,3837,1
87,4008,1
87,4741,1
87,5425,1
87,8408,1
87,17195,1
88,25,1
88,420,1
88,583,1
88,627,1
88,1487,1
88,2713,1
88,2994,1
88,3123,1
88,3383,1
88,9860,1
88,18606,1
88,54181,1
89,74,1
89,357,2
89,584,1
89,935,1
89,1174,1
89,1539,1
89,2471,1
89,4474,1
89,7169,1
89,9414,1
89,9469,1
89,14329,1
89,23549,1
89,141991,1
90,118,1
90,251,1
90,687,1
90,1020,1
90,1250,1
90,10455,1
91,187,1
91,283,1
91,1057,1
91,1885,1
91,2130,1
91,2189,1
91,3455,2
91,4213,2
91,7247,1
91,33282,1
91,36795,2
92,64,1
92,171,1
92,331,1
92,607,1
92,1057,1
92,2320,1
92,2619,1
92,3866,1
92,5029,1
92,56503,3
93,373,1
93,1152,1
93,3124,2
93,12770,2
94,181,1
94,2395,1
94,3065,1
94,4922,1
94,7068,1
94,7329,1
94,17083,1
94,34612,1
95,299,1
95,622,1
95,670,1
95,1309,1
95,1865,1
95,2270,1
95,6902,1
95,8697,1
95,12125,1
95,40634,1
96,261,1
96,1359,1
96,2258,1
96,2515,1
96,2694,1
96,4657,1
96,7107,1
96,9544,1
96,11703,1
96,44152,1
96,50515,1
97,1954,1
97,22133,1
97,40243,2
97,59260,1
97,82195,1
98,221,1
98,265,1
98,1103,1
98,1966,1
98,4896,2
98,4929,2
98,7683,4
98,9054,2
98,16130,3
98,28570,2
98,43528,3
99,349,1
99,361,1
99,1030,1
99,1119,2
99,1409,1
99,1671,1
99,1845,1
99,2051,1
99,2265,1
99,2448,1
99,5132,1
99,6948,1
99,9442,1
99,30894,2
100,522,1
100,565,1
100,567,2
100,972,1
100,1177,1
100,1505,1
100,1766,1
100,1791,1
100,1912,1
100,1953,1
100,3454,1
100,3711,1
100,12676,2
100,13918,1
100,16465,1
100,24268,1
100,26113,2
100,27349,1
100,46736,1
101,486,1
101,1527,1
101,2051,1
101,2229,1
101,3835,1
101,3992,1
101,4039,1
101,5094,1
101,7872,1
101,11550,1
101,11976,1
101,46843,1
101,48049,1
102,1544,1
102,4371,1
102,18900,1
102,85467,2
103,231,1
103,605,1
103,707,1
103,1100,1
103,2217,1
103,3868,1
103,4370,2
103,4771,1
103,6986,1
103,12229,2
103,19551,2
103,26266,1
103,26944,1
103,31955,1
103,39645,2
103,46650,4
103,64551,1
104,256,1
104,657,1
104,968,1
104,1060,1
104,1600,1
104,2126,1
104,2946,1
104,3061,2
104,6599,2
104,9503,1
104,11354,1
104,31524,1
104,31910,1
105,353,1
105,1179,1
105,1193,2
105,3349,1
105,5034,1
105,6516,1
105,7878,1
105,25970,1
105,28888,1
105,50408,2
106,167,1
106,685,1
106,750,1
106,940,1
106,974,1
106,2136,1
106,2732,2
106,3475,1
106,4414,1
106,5700,1
106,5935,1
106,11596,1
106,14470,1
106,16232,1
106,26213,1
106,40787,3
106,41475,3
106,83228,2
107,131,1
107,290,1
107,501,1
107,517,1
107,1286,2
107,2081,1
107,5346,1
107,8439,1
107,9476,2
108,306,1
108,456,1
108,807,1
108,1292,2
108,1586,1
108,2096,1
108,2913,1
108,5031,1
108,8615,1
108,27748,1
109,96,1
109,974,1
109,1705,1
109,4676,1
109,6648,1
109,7253,1
109,8287,2
109,9533,1
109,52305,1
110,201,1
110,442,1
110,481,1
110,944,1
110,1584,1
110,2122,1
110,2333,1
110,2384,1
110,2526,1
110,9353,1
110,11521,1
110,12517,1
110,22433,1
110,27001,1
110,43385,1
110,75170,1
111,857,1
111,967,1
111,1347,1
111,2572,1
111,2918,1
111,3262,1
111,10769,1
112,307,1
112,888,1
112,977,1
112,1235,1
112,1248,1
112,1789,1
112,2603,1
112,3032,1
112,4605,1
112,29160,2
112,29891,2
112,30124,1
113,168,1
113,182,1
113,246,1
113,1344,1
113,1409,1
113,1630,1
113,6328,1
113,12075,1
113,19148,1
113,19562,1
113,22683,1
113,31163,1
114,553,1
114,771,1
114,959,1
114,962,1
114,2504,1
114,3610,1
114,4846,1
114,5410,1
114,7206,1
114,14574,1
114,17033,1
114,34823,2
114,75132,1
114,158130,2
115,37,1
115,375,1
115,1567,1
115,2661,1
115,2865,1
115,6573,1
115,8759,1
115,9226,1
115,72581,1
115,147139,1
116,131,1
116,336,1
116,4218,1
116,6104,1
116,8058,1
116,10946,1
116,12150,1
117,84,1
117,1124,1
117,1539,1
117,2094,1
117,2304,1
117,7100,1
117,7569,1
117,11086,1
117,13948,1
117,14035,2
117,15883,1
117,15936,1
117,119835,2
118,39,1
118,239,1
118,452,1
118,1114,1
118,1261,1
118,1365,1
118,1448,1
118,1530,1
118,2256,1
118,8318,1
118,11247,1
118,18653,1
119,173,1
119,429,1
119,557,1
119,1114,1
119,1395,1
119,1818,1
119,2127,1
119,2330,1
119,3036,1
119,3957,1
119,4762,1
119,4994,1
119,5873,1
119,6064,1
119,6147,1
119,8226,1
119,10991,1
119,17973,1
119,27283,1
119,43139,1
119,74590,1
120,202,1
120,876,1
120,1168,1
120,2977,2
120,3123,2
120,3633,1
120,16017,1
120,65480,1
121,131,1
121,164,1
121,170,1
121,569,1
121,781,1
121,21766,1
121,32337,1
121,52576,2
122,133,1
122,255,1
122,383,1
122,603,1
122,873,1
122,1164,1
122,1485,1
122,2667,1
122,3214,1
122,4097,1
122,4391,1
122,5741,1
122,8935,1
122,9406,1
122,18501,1
123,22,1
123,324,1
123,825,1
123,1186,1
123,1599,1
123,2667,2
123,2829,1
123,2980,1
123,3373,1
123,4074,1
123,16206,1
123,21361,1
123,84249,4
124,410,2
124,819,1
124,1181,1
124,1676,1
124,3131,1
124,3674,1
124,5506,1
124,7689,1
124,8248,1
124,8275,1
124,9151,1
124,17842,1
124,86635,2
125,931,1
125,1128,1
125,1292,2
125,5877,1
125,6341,2
125,7025,1
125,9711,1
125,23697,2
125,37971,1
125,84465,2
126,70,1
126,568,1
126,1123,2
126,1211,1
126,2206,1
126,2481,1
126,2604,2
126,3401,1
126,5339,1
126,5862,1
126,6071,1
126,6191,1
126,10716,1
126,13157,1
126,14039,1
126,106085,2
127,102,1
127,152,1
127,222,1
127,860,1
127,946,1
127,1480,1
127,4307,2
127,5760,1
127,6781,1
127,9270,1
127,13265,1
127,75545,1
128,1090,1
128,1681,2
128,4258,1
128,5805,1
128,50076,1
129,28,1
129,446,1
129,1147,1
129,1517,1
129,1797,1
129,2794,1
129,6294,1
129,17025,1
129,20422,2
129,21560,1
129,22997,1
129,46815,2
129,158606,1
130,106,1
130,215,1
130,328,2
130,534,1
130,1740,2
130,3195,1
130,3349,1
130,5222,1
130,6317,1
130,7054,1
130,7874,1
130,7952,1
130,9564,1
131,108,1
131,367,1
131,1431,1
131,11599,1
131,19199,1
132,162,1
132,2770,1
132,2919,1
132,3347,1
132,3476,1
132,6201,1
132,10846,1
132,13272,1
132,28114,1
132,32867,1
133,212,1
133,674,1
133,3438,1
133,6057,1
133,8978,1
133,45748,1
134,1233,1
134,1495,1
134,1990,1
134,6907,1
134,8477,1
134,10774,1
134,11403,2
134,15171,5
134,25710,1
134,52042,2
135,476,1
135,1764,1
135,1802,1
135,4273,1
135,6036,1
135,6932,1
135,8004,1
135,25805,3
135,31212,1
135,44971,1
136,339,1
136,1385,1
136,1395,2
136,1478,1
136,2663,1
136,3811,1
136,5214,1
136,5994,1
136,13628,1
137,202,1
137,867,1
137,888,1
137,925,1
137,2329,1
137,2435,1
137,2486,1
137,2588,1
137,4981,1
137,5861,1
137,5964,1
137,8131,1
137,23884,1
138,361,1
138,423,1
138,3888,1
138,4808,1
138,6242,1
138,8120,1
138,12915,1
138,14103,1
138,26234,1
138,74149,2
139,558,1
139,630,1
139,785,1
139,1116,1
139,1448,1
139,3039,1
139,5255,1
139,8063,1
139,23389,1
140,757,1
140,1272,1
140,1927,1
140,1938,1
140,5590,1
140,7366,1
140,10144,1
140,20733,1
141,246,1
141,355,1
141,459,1
141,534,1
141,1048,1
141,1199,1
141,1750,1
141,2356,1
141,2509,1
141,5050,1
141,6158,1
141,10200,1
141,13318,1
141,13340,2
141,17679,2
141,34181,1
141,53442,1
142,325,1
142,722,1
142,1614,1
142,1697,1
142,2161,1
142,2390,1
142,3080,1
142,3336,1
142,4290,1
142,8782,1
142,11681,1
142,16989,1
142,40884,2
142,44912,1
142,104264,1
142,151607,1
143,79,1
143,254,1
143,400,1
143,681,1
143,4790,1
143,4835,1
143,7476,1
143,7638,1
143,13740,1
143,22230,1
143,40173,1
143,59902,2
144,110,1
144,189,1
144,402,1
144,747,1
144,879,1
144,888,1
144,1051,1
144,1815,1
144,2019,1
144,2153,1
144,2891,1
144,4338,1
144,4785,1
144,5794,1
144,6154,1
144,6378,1
144,6994,1
144,8228,1
144,9163,1
144,9647,1
144,13921,1
144,16753,1
144,20836,1
144,23268,1
144,40207,1
