seeking,r_new,r_old,tot_enc,tot_par
0.000000,0.206039,0.170606,140.000000,84.000000
0.000000,0.205713,0.191147,144.000000,72.000000
0.000000,0.205697,0.062086,96.000000,75.000000
0.000000,0.205653,0.057315,114.000000,94.000000
0.000000,0.205429,0.451598,237.000000,85.000000
0.000000,0.205383,0.201131,126.000000,69.000000
0.000000,0.205342,0.641171,294.000000,76.000000
0.000000,0.205108,0.045169,97.000000,84.000000
0.000000,0.205104,0.196953,156.000000,81.000000
0.000000,0.205026,0.318834,176.000000,72.000000
0.000000,0.204846,0.064472,99.000000,80.000000
0.000000,0.204537,0.108231,102.000000,74.000000
0.000000,0.204474,0.181034,154.000000,89.000000
0.000000,0.204393,0.113991,122.000000,90.000000
0.000000,0.204125,0.044581,82.000000,72.000000
0.000000,0.204094,0.026103,101.000000,90.000000
0.000000,0.203831,0.202668,152.000000,84.000000
0.000000,0.203726,0.199166,158.000000,90.000000
0.000000,0.203712,0.143926,117.000000,70.000000
0.000000,0.203650,0.012572,79.000000,77.000000
0.000000,0.203528,0.113464,121.000000,77.000000
0.000000,0.203210,0.231178,139.000000,68.000000
0.000000,0.203147,0.231002,132.000000,69.000000
0.000000,0.203063,0.321419,184.000000,69.000000
0.000000,0.203033,0.105345,121.000000,89.000000
0.000000,0.202923,0.090303,108.000000,80.000000
0.000000,0.202919,0.373788,213.000000,79.000000
0.000000,0.202783,0.062754,96.000000,70.000000
0.000000,0.202721,0.097416,109.000000,72.000000
0.000000,0.202683,0.048238,92.000000,78.000000
0.000000,0.202526,0.118495,91.000000,61.000000
0.000000,0.202234,0.130997,129.000000,93.000000
0.000000,0.202217,0.430523,234.000000,71.000000
0.000000,0.202045,0.293271,163.000000,84.000000
0.000000,0.201915,0.239445,150.000000,66.000000
0.000000,0.201775,0.423807,229.000000,87.000000
0.000000,0.201757,0.156078,128.000000,81.000000
0.000000,0.201535,0.551548,272.000000,84.000000
0.000000,0.201295,0.292016,166.000000,58.000000
0.000000,0.201276,0.274434,163.000000,77.000000
0.000000,0.201185,0.054760,98.000000,85.000000
0.000000,0.201081,0.210971,172.000000,94.000000
1.000000,0.201076,0.171319,122.000000,72.000000
0.000000,0.200867,0.041614,92.000000,76.000000
0.000000,0.200772,0.144678,116.000000,74.000000
0.000000,0.200673,0.297120,188.000000,85.000000
0.000000,0.200598,0.023730,68.000000,65.000000
0.000000,0.200458,0.487726,244.000000,66.000000
0.000000,0.200454,0.155390,115.000000,66.000000
0.000000,0.200286,0.205957,126.000000,74.000000
0.000000,0.200270,0.131738,120.000000,80.000000
0.000000,0.199603,0.396299,197.000000,60.000000
0.000000,0.199548,0.102953,111.000000,74.000000
0.000000,0.199364,0.285925,156.000000,61.000000
0.000000,0.199346,0.170361,144.000000,82.000000
0.000000,0.199207,0.088599,87.000000,65.000000
0.000000,0.199148,0.403926,230.000000,84.000000
0.000000,0.199122,0.100866,100.000000,62.000000
0.000000,0.198871,0.089641,97.000000,72.000000
0.000000,0.198827,0.279271,178.000000,87.000000
0.000000,0.198640,0.422805,215.000000,83.000000
0.000000,0.198521,0.193868,139.000000,83.000000
0.000000,0.198486,0.141953,118.000000,74.000000
0.000000,0.198405,0.035633,80.000000,65.000000
0.000000,0.198358,0.353576,203.000000,80.000000
0.000000,0.198244,0.144323,106.000000,63.000000
0.000000,0.198170,0.119362,105.000000,69.000000
0.000000,0.198157,0.273457,187.000000,84.000000
0.000000,0.198086,0.138339,127.000000,75.000000
0.000000,0.197934,0.221268,154.000000,71.000000
0.000000,0.197885,0.336679,197.000000,80.000000
0.000000,0.197777,0.167229,134.000000,77.000000
0.000000,0.197586,0.078610,114.000000,85.000000
