seeking,r_new,r_old,tot_enc,tot_par
0.000000,0.685420,0.179716,350.000000,281.000000
0.000000,0.683006,0.129526,289.000000,239.000000
0.000000,0.682123,0.082795,257.000000,232.000000
0.000000,0.681788,0.103733,278.000000,230.000000
0.000000,0.681750,0.865269,543.000000,240.000000
0.000000,0.681553,0.583031,442.000000,234.000000
0.000000,0.681551,0.038388,278.000000,264.000000
0.000000,0.680181,0.129319,292.000000,238.000000
0.000000,0.679373,0.471999,429.000000,251.000000
0.000000,0.678771,0.094251,283.000000,236.000000
0.000000,0.678630,0.042868,230.000000,217.000000
0.000000,0.678051,0.096800,283.000000,251.000000
0.000000,0.676899,0.387767,380.000000,234.000000
0.000000,0.676845,0.278475,357.000000,247.000000
0.000000,0.675387,0.247333,344.000000,251.000000
0.000000,0.674864,0.303474,379.000000,256.000000
0.000000,0.674312,0.045101,281.000000,259.000000
0.000000,0.673252,0.153469,286.000000,228.000000
0.000000,0.673173,0.082131,288.000000,252.000000
0.000000,0.672959,0.265734,351.000000,246.000000
0.000000,0.672945,0.333057,384.000000,261.000000
0.000000,0.672423,0.065976,240.000000,215.000000
0.000000,0.672227,0.013341,281.000000,270.000000
0.000000,0.672225,0.087691,265.000000,236.000000
0.000000,0.672127,0.188078,319.000000,248.000000
0.000000,0.672011,0.158468,326.000000,261.000000
0.000000,0.671573,0.070199,261.000000,233.000000
0.000000,0.671163,0.080610,281.000000,249.000000
0.000000,0.670915,0.316297,371.000000,248.000000
0.000000,0.670877,0.140390,318.000000,264.000000
0.000000,0.670365,0.262903,316.000000,227.000000
0.000000,0.670166,0.063162,258.000000,226.000000
0.000000,0.670142,0.367991,357.000000,228.000000
0.000000,0.668389,0.162399,289.000000,228.000000
0.000000,0.668296,0.352320,354.000000,226.000000
0.000000,0.665221,0.172634,299.000000,229.000000
0.000000,0.665144,0.436820,394.000000,245.000000
0.000000,0.664009,0.137266,283.000000,238.000000
0.000000,0.662946,0.252065,311.000000,232.000000
0.000000,0.662112,0.275481,322.000000,225.000000
0.000000,0.661213,0.533585,438.000000,244.000000
0.000000,0.659506,0.294703,321.000000,221.000000
0.000000,0.657135,0.126717,274.000000,225.000000
0.000000,0.656216,0.493733,432.000000,258.000000
0.000000,0.653444,0.241117,323.000000,242.000000
0.000000,0.651700,0.209171,296.000000,217.000000
0.000000,0.650415,0.138248,267.000000,213.000000
0.000000,0.650104,0.306053,355.000000,233.000000
0.000000,0.649963,0.407171,364.000000,225.000000
0.000000,0.649961,0.963726,563.000000,217.000000
0.000000,0.648958,0.018388,251.000000,238.000000
0.000000,0.648286,0.193962,286.000000,217.000000
0.000000,0.646563,0.094108,256.000000,229.000000
0.000000,0.646284,0.068515,285.000000,246.000000
0.000000,0.645970,0.190205,300.000000,228.000000
0.000000,0.642643,0.135062,287.000000,238.000000
0.000000,0.641642,0.016364,250.000000,237.000000
0.000000,0.641384,0.436393,391.000000,234.000000
0.000000,0.640572,0.541212,415.000000,229.000000
0.000000,0.640003,0.094507,268.000000,236.000000
0.000000,0.637236,0.036740,255.000000,239.000000
0.000000,0.635981,0.089843,261.000000,226.000000
0.000000,0.635477,0.125076,276.000000,218.000000
0.000000,0.634730,0.274223,313.000000,228.000000
0.000000,0.634192,0.091348,260.000000,234.000000
0.000000,0.632925,0.184971,308.000000,228.000000
0.000000,0.631018,0.091330,275.000000,238.000000
0.000000,0.630507,0.218157,339.000000,256.000000
0.000000,0.630155,0.073431,261.000000,224.000000
0.000000,0.628831,0.436270,403.000000,243.000000
0.000000,0.628260,0.021602,221.000000,207.000000
0.000000,0.627981,0.313758,348.000000,236.000000
0.000000,0.627530,0.102628,268.000000,218.000000
0.000000,0.626551,0.038685,242.000000,221.000000
0.000000,0.626239,0.129427,271.000000,220.000000
0.000000,0.625549,0.120454,282.000000,230.000000
0.000000,0.625525,0.163043,302.000000,249.000000
0.000000,0.624480,0.238524,287.000000,206.000000
0.000000,0.624080,0.100537,278.000000,237.000000
0.000000,0.623349,0.305316,318.000000,221.000000
0.000000,0.622610,0.338912,339.000000,236.000000
0.000000,0.622031,0.204441,308.000000,228.000000
0.000000,0.621051,0.057665,239.000000,216.000000
0.000000,0.620557,0.219321,298.000000,220.000000
0.000000,0.620267,0.041582,268.000000,243.000000
0.000000,0.620196,0.118457,262.000000,221.000000
0.000000,0.619415,0.012311,221.000000,216.000000
0.000000,0.619343,0.211259,297.000000,215.000000
0.000000,0.619170,0.120052,288.000000,243.000000
0.000000,0.617540,0.208270,288.000000,225.000000
0.000000,0.616455,0.272061,334.000000,227.000000
0.000000,0.616403,0.087899,266.000000,233.000000
0.000000,0.616319,0.044061,234.000000,218.000000
0.000000,0.615702,0.428689,355.000000,201.000000
0.000000,0.614517,0.050768,231.000000,207.000000
0.000000,0.614309,0.146846,282.000000,239.000000
0.000000,0.614179,0.250497,328.000000,228.000000
0.000000,0.614078,0.079238,221.000000,191.000000
0.000000,0.613914,0.410660,368.000000,227.000000
0.000000,0.612650,0.139762,272.000000,221.000000
0.000000,0.612016,0.286051,285.000000,190.000000
0.000000,0.610705,0.292172,336.000000,224.000000
0.000000,0.609396,0.138894,267.000000,214.000000
0.000000,0.609374,0.026795,226.000000,215.000000
0.000000,0.608916,0.134472,277.000000,225.000000
0.000000,0.607477,0.042880,228.000000,210.000000
0.000000,0.606651,0.188939,307.000000,235.000000
0.000000,0.606022,0.106777,264.000000,227.000000
0.000000,0.605733,0.069788,249.000000,228.000000
0.000000,0.605583,0.245129,333.000000,242.000000
0.000000,0.604598,0.387751,330.000000,203.000000
0.000000,0.603352,0.281208,328.000000,221.000000
0.000000,0.602705,0.223856,296.000000,211.000000
0.000000,0.602439,0.025723,202.000000,193.000000
0.000000,0.601795,0.324091,353.000000,243.000000
0.000000,0.601747,0.232854,303.000000,215.000000
0.000000,0.601183,0.095215,239.000000,208.000000
0.000000,0.599945,0.105261,245.000000,210.000000
0.000000,0.599831,0.462321,396.000000,214.000000
0.000000,0.599564,0.099882,228.000000,198.000000
0.000000,0.599019,0.250820,312.000000,235.000000
0.000000,0.598893,0.213255,269.000000,194.000000
0.000000,0.596297,0.227241,317.000000,228.000000
0.000000,0.596295,0.150075,298.000000,236.000000
0.000000,0.595066,0.217914,301.000000,220.000000
0.000000,0.594726,0.236719,296.000000,222.000000
0.000000,0.593478,0.097410,255.000000,220.000000
0.000000,0.593262,0.046465,226.000000,212.000000
0.000000,0.591610,0.018990,228.000000,218.000000
0.000000,0.590155,0.239064,317.000000,219.000000
0.000000,0.589778,0.134984,276.000000,222.000000
0.000000,0.589312,0.082092,229.000000,195.000000
0.000000,0.588526,0.353985,320.000000,194.000000
0.000000,0.588213,0.076609,243.000000,215.000000
0.000000,0.586881,0.630906,464.000000,230.000000
0.000000,0.586761,0.153859,280.000000,219.000000
0.000000,0.585957,0.324367,311.000000,203.000000
0.000000,0.585422,0.534268,410.000000,215.000000
0.000000,0.585296,0.190718,290.000000,226.000000
0.000000,0.585261,0.257018,294.000000,195.000000
0.000000,0.584578,0.110553,254.000000,215.000000
0.000000,0.584357,0.055125,235.000000,215.000000
0.000000,0.584132,0.689110,455.000000,225.000000
0.000000,0.583680,0.062836,262.000000,235.000000
0.000000,0.583372,0.170784,258.000000,207.000000
0.000000,0.583349,0.238608,290.000000,199.000000
0.000000,0.581910,0.121101,240.000000,201.000000
0.000000,0.581587,0.090832,263.000000,231.000000
0.000000,0.581233,0.319051,318.000000,204.000000
0.000000,0.581151,0.147927,282.000000,231.000000
0.000000,0.579968,0.451982,375.000000,204.000000
0.000000,0.579884,0.073564,239.000000,214.000000
0.000000,0.578908,0.491444,374.000000,208.000000
0.000000,0.578319,0.097303,259.000000,213.000000
0.000000,0.578124,0.313306,336.000000,211.000000
0.000000,0.577917,0.171825,275.000000,207.000000
0.000000,0.577419,0.640931,420.000000,197.000000
0.000000,0.577318,0.123589,277.000000,230.000000
0.000000,0.576989,0.397734,330.000000,207.000000
0.000000,0.576414,0.707508,507.000000,243.000000
0.000000,0.574077,0.215594,326.000000,234.000000
0.000000,0.572982,0.066897,244.000000,220.000000
0.000000,0.572667,0.470398,384.000000,192.000000
0.000000,0.572227,0.046207,238.000000,219.000000
0.000000,0.572121,0.471717,377.000000,218.000000
0.000000,0.572008,0.258668,279.000000,186.000000
0.000000,0.571429,0.167503,278.000000,215.000000
0.000000,0.571310,0.232919,290.000000,213.000000
0.000000,0.571014,0.156874,296.000000,231.000000
0.000000,0.570110,0.297116,295.000000,190.000000
0.000000,0.569440,0.252568,315.000000,218.000000
0.000000,0.569422,0.121997,267.000000,212.000000
