rows,cols,strengths
115,1912,1
116,74,1
116,6391,1
116,17234,1
116,18038,1
117,124,1
117,7060,1
117,29520,3
118,4685,1
118,8026,2
118,18543,2
118,19834,1
119,165,1
119,255,1
119,1370,1
119,2474,1
119,2738,1
119,3489,1
120,209,1
120,41601,9
121,342,2
121,1717,1
121,5657,3
121,6419,1
122,448,2
122,1203,1
122,1809,2
122,9901,2
122,17772,1
122,23957,2
122,30008,1
123,8830,1
123,24462,1
123,37430,4
124,249,1
124,948,1
124,4715,1
124,12494,1
124,15912,2
124,18159,2
125,1457,2
125,3778,1
125,17668,1
126,488,1
126,498,1
126,735,1
126,834,1
126,1581,1
126,2552,1
126,3253,2
126,5161,1
127,1893,1
127,4370,1
127,8059,2
127,12671,2
127,65134,1
128,6302,1
128,9266,1
129,1147,1
129,1495,1
129,21459,1
130,797,1
130,5221,1
130,5537,3
131,2513,2
131,17647,1
132,538,3
132,3729,1
132,41395,4
132,47330,1
133,314,1
133,1481,1
134,689,1
134,1593,1
134,1699,1
135,5233,1
135,13383,1
135,36278,2
136,819,1
136,1285,1
137,913,1
137,1372,1
137,4167,2
137,5492,1
138,20780,1
138,21583,2
139,117,1
139,7174,1
139,8952,1
139,16696,1
140,17,1
140,2854,1
140,4002,1
140,4393,1
140,7353,1
140,19613,1
141,219,1
141,2001,1
141,2023,1
141,3222,1
141,4353,1
141,15256,5
141,18991,3
141,20749,1
141,46686,2
141,62742,2
142,22401,1
143,602,1
143,3638,2
143,5730,1
143,6954,3
143,14995,1
143,82301,1
144,5007,1
144,38644,3
145,1224,1
145,1268,1
145,2176,1
146,475,1
146,607,1
146,2004,1
146,2944,1
146,4221,1
147,219,2
147,392,1
147,930,1
147,1907,1
147,5301,1
147,13275,2
148,218,1
148,1692,1
148,2202,2
148,29091,1
149,2990,1
149,8088,1
150,2503,1
150,7763,1
150,8395,2
150,55600,1
151,13951,2
152,679,1
153,400,1
153,1457,1
153,1928,1
153,4068,1
153,16516,1
154,204,1
154,1418,2
154,2469,2
154,3568,1
155,502,1
155,1036,1
155,1736,1
155,2012,1
155,4381,1
155,5350,1
155,9611,1
155,13911,9
156,2653,1
156,53449,1
156,56474,1
157,312,1
157,592,1
157,1501,1
157,8725,1
157,20663,1
158,1362,1
158,9016,1
159,51,1
159,2758,1
159,23403,4
160,51861,1
161,1674,1
161,2260,1
161,2466,1
161,2720,1
161,14253,4
162,291,1
163,645,2
163,811,2
163,2294,1
163,2725,1
164,13827,1
165,269,1
165,678,1
166,5008,1
166,11000,1
166,13387,2
166,20298,1
166,44007,2
167,126,1
167,10437,1
168,11579,2
169,468,4
169,747,1
169,1477,1
169,3077,2
169,5330,1
169,10119,1
169,12803,3
169,14399,3
170,431,1
171,3892,3
172,8044,1
172,39120,1
172,72254,2
173,8790,1
174,160,1
174,2676,1
174,4245,4
174,5119,2
174,14507,1
175,880,1
175,1584,3
175,7135,1
175,21276,1
175,26396,1
176,56,1
176,1176,1
176,3695,1
176,5862,1
176,14361,2
176,35963,3
177,69,1
177,917,1
177,2086,1
177,2254,1
177,7350,1
177,8104,1
177,8174,1
177,19492,1
177,28323,2
178,2323,1
179,1825,2
179,16528,3
179,19491,1
179,22249,1
180,2169,1
180,7040,1
181,89,1
181,1560,1
181,7376,1
182,1240,2
182,3390,1
182,4786,4
182,6710,1
183,1670,1
183,12775,3
183,33190,4
184,3681,1
184,4130,1
184,23976,2
185,737,1
185,757,1
185,9737,1
185,21315,1
185,59802,1
186,666,1
186,687,1
186,1249,1
186,6059,1
186,20231,1
186,32032,1
187,9400,2
187,20152,3
187,26867,2
187,38239,2
188,75,1
188,1965,1
188,3004,1
188,28967,3
189,806,1
189,3779,1
190,449,1
190,598,1
190,2300,1
190,10526,2
191,3068,1
191,6815,1
191,10139,1
192,71,1
192,2215,1
192,7977,1
192,24720,1
192,59741,2
193,157,1
193,2423,1
193,4573,2
193,17205,3
193,25676,1
193,28964,1
194,1828,1
194,1849,1
194,5340,1
195,1347,1
195,1788,1
195,2344,1
196,2014,1
196,46054,2
197,369,1
197,1515,1
197,2057,1
197,2068,1
197,3618,2
197,28593,1
197,50556,1
198,1000,1
198,1160,1
198,38506,3
198,64806,2
199,5645,1
200,483,1
200,848,1
200,929,1
200,3873,1
201,949,1
201,2190,1
201,5509,2
201,7911,2
202,109,1
202,1822,1
202,48473,2
203,832,1
203,2482,3
203,40103,1
204,4034,1
204,10988,1
204,13561,1
204,22146,1
205,134,1
205,3985,1
205,15263,2
205,40932,1
206,786,1
206,2224,1
206,18393,1
207,2384,2
207,9786,1
207,21673,1
207,50609,2
208,19063,3
209,258,1
209,1637,1
209,2270,1
209,37003,1
210,263,1
210,1758,1
210,5732,1
211,3275,1
211,5423,1
211,12584,1
211,77853,4
212,879,1
212,1729,1
212,2220,1
212,8298,1
212,8968,1
212,10929,1
212,29262,4
213,550,1
213,798,2
213,3064,2
213,3821,1
213,4670,1
213,6851,1
213,9927,1
214,5490,1
214,8905,2
215,3312,1
215,4621,1
215,5548,1
215,6455,1
215,28746,1
216,3725,1
216,42177,1
217,1051,1
217,2406,1
217,6566,2
217,14642,1
218,9175,1
218,25715,1
219,1062,1
219,1090,2
219,5639,1
219,34233,2
220,654,1
220,3287,5
220,29592,4
221,1760,1
221,2720,1
221,3873,1
221,5774,1
222,5369,1
222,15197,4
223,277,1
223,11513,2
223,84315,1
224,8463,1
224,15921,4
225,5938,1
225,9598,1
225,21977,1
225,48716,1
226,2076,1
226,16711,2
227,1790,1
227,4507,1
227,6607,1
228,377,1
228,1812,1
228,15797,1
228,18193,1
228,34442,1
229,317,1
229,3680,1
229,5239,1
230,1314,1
230,1915,1
230,9381,1
230,19043,1
231,5296,1
231,28116,1
231,30894,2
232,1283,1
232,8257,1
232,11734,2
232,12197,3
232,23035,1
232,47091,4
232,51835,4
232,54877,1
233,763,1
234,2130,2
234,4760,1
234,5031,1
235,11675,1
236,1145,1
236,1279,1
236,2845,1
236,4637,2
236,10660,1
237,361,1
237,1645,1
237,10126,3
237,15601,1
237,17337,1
237,69344,4
238,366,1
238,2760,1
238,10933,1
238,15473,4
238,27207,1
239,478,1
239,1912,1
239,3001,1
239,40917,1
239,45945,1
239,56723,2
239,60760,1
240,822,1
240,1124,1
241,36128,1
242,1263,1
242,6394,1
242,20625,2
243,2032,1
244,1790,2
244,2008,1
244,2257,2
244,3599,2
244,31471,2
245,772,1
245,10020,1
245,15371,1
246,2492,2
246,8966,3
247,155,1
247,213,1
247,1425,1
247,1702,1
247,2575,1
247,6207,1
247,13571,1
247,17870,1
247,49460,6
248,479,1
248,976,1
248,1584,1
248,1936,1
248,2026,1
248,2040,2
248,3202,1
248,4854,1
248,5604,1
248,19227,3
249,83,2
249,141,1
249,1003,3
249,1705,1
249,2592,1
249,3771,1
250,2258,1
250,35069,4
251,98,1
251,6360,1
251,46209,6
251,69300,7
252,3561,1
252,4392,1
252,4987,1
252,27226,1
253,1904,2
253,11192,2
254,462,1
254,1161,1
254,6735,1
255,4399,1
255,6202,1
255,49023,1
255,72086,1
256,3362,1
256,3375,1
256,7433,1
257,4726,1
257,6257,1
257,8030,2
257,35789,2
258,53,1
258,54,1
259,22,1
259,1280,2
259,3488,1
259,6975,1
259,72984,1
260,930,1
260,1430,1
260,17048,7
260,56108,3
260,57196,2
261,42,1
261,20029,1
261,78907,1
262,450,1
262,3701,1
262,4218,1
262,26484,4
263,71,1
263,233,1
263,970,1
263,5261,1
263,9587,1
263,23686,1
264,6044,1
264,29201,1
265,2374,1
265,25223,3
265,66965,1
266,299,1
266,3117,1
266,3857,4
266,3932,1
266,5224,1
266,5258,1
266,17164,1
266,26394,1
266,28803,1
267,5498,1
267,9260,1
267,23676,1
267,26775,2
268,398,1
268,8894,2
268,15656,2
269,1012,1
269,1211,1
269,2874,1
269,12899,2
269,39879,1
270,1044,1
270,1449,1
270,1862,1
270,2105,1
270,7333,1
270,15309,1
271,175,1
271,2119,1
271,2928,1
271,3877,1
271,5117,1
271,6675,2
271,8513,2
271,13022,2
272,6417,2
272,16450,1
273,315,1
273,7913,3
273,41376,3
274,804,1
274,57869,3
275,1112,1
275,1200,1
275,82971,1
276,240,1
277,2578,1
277,7803,1
277,10609,1
277,30882,2
278,6184,1
278,10273,1
278,20438,2
279,331,1
279,435,1
279,3010,1
279,3222,1
279,5226,1
279,6629,1
279,19760,2
279,66471,2
280,483,1
280,8547,3
280,10743,2
280,26307,2
281,16773,3
282,148,1
282,661,1
283,592,1
283,715,1
283,2351,1
283,4736,2
283,5186,4
283,15147,1
283,30689,1
284,209,1
284,4143,1
284,7986,2
284,24578,1
284,30181,6
284,66117,1
285,446,1
285,605,1
285,27547,1
286,3256,1
286,10144,1
287,7320,1
287,70283,1
288,1877,1
288,2129,1
288,2545,2
289,652,1
289,23682,1
289,27839,1
290,2721,1
290,4607,1
290,7618,1
290,54404,7
291,380,1
291,1589,1
291,12854,2
292,456,1
292,630,1
292,3629,1
292,18715,1
293,10696,4
293,21319,2
294,677,1
294,1099,1
294,2410,2
294,6483,1
294,6938,2
294,10524,1
295,293,2
295,3699,1
295,4805,1
295,9086,2
295,20281,1
296,636,1
296,1898,1
296,63199,2
297,227,1
297,332,1
297,648,1
297,1594,1
297,2301,2
298,29,1
298,1329,1
298,2084,3
298,2600,1
298,4036,1
298,5993,1
298,6428,1
298,8975,1
298,24024,3
299,3466,1
299,17112,1
300,1127,1
300,3375,1
300,9237,2
300,12891,1
301,3625,1
301,9364,2
303,1209,1
303,2761,1
303,4386,1
303,9292,1
304,178,1
304,1871,2
304,2543,1
304,2734,1
305,10110,1
305,18360,2
306,418,1
306,1450,1
306,5404,1
306,13558,2
306,14269,1
307,432,2
307,1033,2
307,3395,1
307,3720,1
307,17356,1
307,32541,1
307,40123,1
308,162,1
308,973,1
308,2402,1
308,6629,1
308,13124,1
309,302,1
309,2016,1
309,2830,1
309,3137,1
309,20417,1
309,31659,3
309,65746,7
310,55025,1
312,461,1
312,4475,1
312,6664,2
312,18004,1
312,33040,6
313,4084,1
313,4917,1
313,27138,3
314,85,1
314,767,1
314,962,1
314,1942,1
314,26142,3
314,53002,1
315,5528,1
315,10175,1
316,607,1
316,2569,1
316,2901,1
316,3405,1
316,9872,2
316,18793,2
316,28173,2
317,918,1
317,1072,1
317,1392,1
317,6648,1
317,10476,1
318,495,1
318,570,1
318,2088,1
318,4160,1
318,27436,1
320,111,3
320,1480,1
321,761,1
321,1584,1
321,5719,1
321,8564,3
321,14712,1
321,30165,1
321,50922,5
323,1781,1
323,3755,3
323,3867,1
323,6318,1
324,650,1
324,2512,1
324,52332,1
324,68512,4
325,459,1
325,1057,1
325,1521,1
325,22329,2
325,48516,4
326,953,1
326,3622,1
326,4536,1
327,765,1
327,6332,2
327,6573,1
327,27852,1
328,658,1
328,9751,1
329,1287,2
329,9425,1
330,133,1
330,353,1
330,1956,1
330,4982,1
330,17369,3
330,47924,6
331,1801,1
332,686,1
332,1673,2
332,1817,1
333,41760,2
333,67934,2
334,4219,1
334,6000,3
334,28610,1
334,33871,5
335,138,1
335,23628,1
335,71311,1
336,424,1
336,652,1
336,1022,1
336,5771,1
336,6955,10
336,30491,2
336,68911,4
337,1275,1
337,2316,1
337,18675,1
337,38535,1
337,46114,1
337,55290,1
338,1475,2
338,29931,1
339,978,4
339,1308,1
339,69277,10
340,368,1
340,558,1
340,2069,1
340,3083,1
340,5901,1
340,8173,3
340,10992,1
340,13310,2
340,39540,3
341,2477,1
341,34303,1
341,40944,5
342,2639,1
342,3365,1
342,6530,1
343,541,1
343,2092,1
343,3637,2
343,27347,2
344,1037,1
344,8086,1
345,1634,1
345,2316,1
345,4266,1
345,4369,1
345,9550,1
345,17190,1
346,6,1
346,45785,3
346,53176,2
347,1518,1
348,624,1
348,12812,3
348,29898,3
348,60907,3
348,72265,2
349,1437,1
349,3258,1
349,16713,2
349,22841,1
349,82056,5
350,15,1
350,565,1
350,618,1
350,5913,1
350,11688,3
350,24898,2
351,89,3
351,3770,1
351,4347,2
351,4565,1
351,57538,1
352,1503,1
352,5532,2
353,3227,1
353,3561,1
353,4697,1
354,526,1
354,972,1
354,3421,2
354,8943,1
354,44381,3
355,366,1
356,1290,1
356,1507,1
356,2987,2
356,3171,1
356,3383,1
356,12853,2
357,218,1
357,1734,1
357,3116,1
357,10009,1
357,28690,5
358,2357,1
358,5115,2
358,10062,1
359,127,1
359,591,2
359,6517,1
359,24529,1
360,2704,1
360,4168,2
360,6088,1
360,77333,3
361,1877,1
361,4797,1
361,18525,1
361,29006,5
361,35629,4
362,320,1
362,717,1
362,3479,2
362,13620,2
364,1438,1
364,1646,1
364,2386,2
364,17947,2
365,12,1
365,505,1
365,4541,3
365,16565,1
365,20196,1
365,42664,2
366,774,2
366,1226,1
366,4388,1
366,5096,1
366,17348,2
366,23556,2
366,55498,1
367,2935,1
367,15185,1
368,2545,1
368,5169,5
368,5576,2
369,20950,1
370,1419,1
370,4418,1
370,5522,1
371,77,1
371,1187,1
372,443,1
372,9056,1
372,10175,1
372,14038,4
372,17021,1
373,3885,1
373,4271,1
373,19135,1
374,1044,1
374,13303,6
374,26924,13
374,28764,1
374,62583,1
374,80837,2
375,837,1
375,850,1
375,7668,1
376,733,1
376,1286,1
376,3653,1
376,5288,2
377,256,1
377,2642,1
377,5124,1
377,17131,4
377,26507,2
378,1231,1
378,64981,2
379,9579,1
379,11808,3
379,15515,1
380,2302,1
380,6505,2
380,32295,2
381,132,1
382,670,1
382,1429,1
382,1881,1
382,2817,1
382,11401,2
383,273,1
383,1657,1
383,19925,6
383,22092,3
384,4496,1
385,862,1
385,1071,1
386,932,1
386,13686,1
387,3072,2
387,10016,1
387,33925,1
388,3020,1
388,37890,2
390,1551,2
390,1779,1
390,6210,2
391,462,1
391,12045,1
391,17164,2
391,41598,1
392,2317,1
392,3219,1
392,18894,3
392,33100,4
392,68261,1
393,2050,2
393,2594,2
393,16054,2
393,67624,6
394,1421,1
394,10001,2
394,22221,1
394,27857,4
394,35017,1
395,179,1
395,1810,1
395,3478,2
395,8552,1
395,13447,2
396,1578,1
396,2138,1
396,7771,1
396,19552,4
397,241,1
397,589,1
398,480,1
398,18581,1
398,38816,1
399,883,1
399,18520,1
399,42429,2
400,2149,1
400,24716,2
401,234,1
401,792,1
401,8548,1
401,26020,3
401,40160,1
402,9,1
402,143,1
402,6478,2
403,197,1
403,242,1
403,707,1
