seeking,r_new,r_old,tot_enc,tot_par
0.000000,0.549354,0.196800,289.000000,209.000000
0.000000,0.547549,0.020669,184.000000,176.000000
0.000000,0.546478,0.183486,257.000000,193.000000
0.000000,0.546043,0.145892,230.000000,178.000000
0.000000,0.545382,0.171154,255.000000,188.000000
0.000000,0.544572,0.418490,369.000000,217.000000
0.000000,0.539145,0.148888,228.000000,163.000000
0.000000,0.535879,0.039809,196.000000,173.000000
0.000000,0.535501,0.161457,254.000000,182.000000
0.000000,0.533769,0.151883,224.000000,172.000000
0.000000,0.532296,0.358225,312.000000,165.000000
0.000000,0.532120,0.163327,235.000000,174.000000
0.000000,0.526253,0.078704,232.000000,204.000000
0.000000,0.524850,0.291078,297.000000,178.000000
0.000000,0.520683,0.263374,304.000000,203.000000
0.000000,0.517965,0.398823,308.000000,165.000000
0.000000,0.515984,0.236604,261.000000,177.000000
0.000000,0.515208,0.107800,249.000000,204.000000
0.000000,0.514953,0.253900,295.000000,211.000000
0.000000,0.514341,0.085378,190.000000,159.000000
0.000000,0.512445,0.273317,291.000000,189.000000
0.000000,0.512230,1.002002,567.000000,209.000000
0.000000,0.511786,0.112174,245.000000,200.000000
0.000000,0.511775,0.160543,261.000000,193.000000
0.000000,0.510790,0.356776,325.000000,196.000000
0.000000,0.509056,0.194225,252.000000,177.000000
0.000000,0.506702,0.013180,186.000000,175.000000
0.000000,0.505430,0.119090,233.000000,186.000000
0.000000,0.505409,0.345423,285.000000,173.000000
0.000000,0.504859,0.126032,221.000000,171.000000
0.000000,0.503619,0.159662,265.000000,205.000000
0.000000,0.503587,0.248281,269.000000,180.000000
0.000000,0.503140,0.070066,211.000000,176.000000
0.000000,0.501812,0.156696,239.000000,186.000000
0.000000,0.501503,0.116032,230.000000,189.000000
0.000000,0.500235,0.215735,263.000000,170.000000
0.000000,0.499905,0.103552,238.000000,203.000000
0.000000,0.497091,0.324127,284.000000,173.000000
0.000000,0.493570,0.265339,275.000000,181.000000
0.000000,0.493118,0.487770,337.000000,182.000000
0.000000,0.492884,0.048692,208.000000,177.000000
0.000000,0.491858,0.110041,211.000000,165.000000
0.000000,0.491765,0.217945,263.000000,178.000000
0.000000,0.491478,0.086575,202.000000,171.000000
0.000000,0.489540,0.303300,277.000000,173.000000
0.000000,0.488536,0.020587,198.000000,184.000000
0.000000,0.487573,0.068972,171.000000,149.000000
0.000000,0.486523,0.124485,194.000000,151.000000
0.000000,0.485976,0.512775,358.000000,170.000000
0.000000,0.485615,0.230575,261.000000,176.000000
0.000000,0.484852,0.048840,179.000000,162.000000
0.000000,0.483537,0.124433,210.000000,172.000000
0.000000,0.481981,0.549489,365.000000,175.000000
0.000000,0.479850,0.040896,212.000000,185.000000
0.000000,0.478631,0.046573,182.000000,170.000000
0.000000,0.477862,0.246126,305.000000,206.000000
0.000000,0.477779,0.210655,258.000000,177.000000
0.000000,0.475210,0.218333,260.000000,184.000000
0.000000,0.473197,0.391465,295.000000,167.000000
0.000000,0.468670,0.440705,313.000000,160.000000
0.000000,0.468269,0.017441,193.000000,177.000000
0.000000,0.466967,0.220275,255.000000,170.000000
0.000000,0.466874,0.194691,236.000000,170.000000
0.000000,0.465356,0.284087,269.000000,176.000000
0.000000,0.465231,0.180770,233.000000,161.000000
0.000000,0.464801,0.482048,343.000000,162.000000
0.000000,0.464555,0.173599,214.000000,152.000000
0.000000,0.464359,0.066531,193.000000,157.000000
0.000000,0.464328,0.085891,195.000000,163.000000
0.000000,0.462431,0.086431,195.000000,159.000000
0.000000,0.461507,0.463352,317.000000,166.000000
0.000000,0.459378,0.172948,217.000000,165.000000
0.000000,0.458651,0.355231,312.000000,171.000000
0.000000,0.457119,0.210417,219.000000,140.000000
0.000000,0.455212,0.395250,286.000000,153.000000
0.000000,0.454654,0.204698,283.000000,199.000000
0.000000,0.452730,0.017529,164.000000,155.000000
0.000000,0.452727,0.530314,343.000000,151.000000
0.000000,0.452146,0.771476,467.000000,181.000000
0.000000,0.449794,0.042353,181.000000,172.000000
0.000000,0.449278,0.101339,221.000000,175.000000
0.000000,0.448486,0.160957,227.000000,168.000000
0.000000,0.448176,0.385036,305.000000,163.000000
0.000000,0.447367,0.064784,169.000000,139.000000
0.000000,0.445823,0.543423,390.000000,183.000000
0.000000,0.445648,0.153076,223.000000,170.000000
0.000000,0.445599,0.358878,304.000000,168.000000
0.000000,0.444041,0.130279,205.000000,151.000000
0.000000,0.443889,0.024748,168.000000,158.000000
0.000000,0.442514,0.038106,155.000000,139.000000
0.000000,0.442048,0.199384,206.000000,139.000000
0.000000,0.440656,0.086499,188.000000,156.000000
0.000000,0.440510,0.034988,187.000000,165.000000
0.000000,0.439551,0.051334,179.000000,157.000000
0.000000,0.438303,0.569989,375.000000,174.000000
0.000000,0.437952,0.391123,295.000000,150.000000
0.000000,0.436975,0.238589,235.000000,145.000000
0.000000,0.435159,0.224288,215.000000,131.000000
0.000000,0.434264,0.220127,226.000000,157.000000
0.000000,0.433762,0.112741,194.000000,153.000000
0.000000,0.433061,0.177121,213.000000,160.000000
0.000000,0.432423,0.217598,241.000000,164.000000
0.000000,0.431539,0.240635,230.000000,141.000000
0.000000,0.430399,0.313047,288.000000,169.000000
0.000000,0.430053,0.580800,394.000000,179.000000
0.000000,0.429923,0.041774,165.000000,152.000000
0.000000,0.429788,0.296440,283.000000,170.000000
0.000000,0.428229,0.131127,207.000000,152.000000
0.000000,0.426743,0.056315,190.000000,160.000000
0.000000,0.426581,0.077084,194.000000,161.000000
0.000000,0.424401,0.094727,165.000000,131.000000
0.000000,0.422787,0.081699,200.000000,169.000000
0.000000,0.422611,0.255918,265.000000,166.000000
0.000000,0.421408,0.084842,188.000000,151.000000
0.000000,0.420764,0.637266,377.000000,143.000000
0.000000,0.420403,0.570686,333.000000,145.000000
0.000000,0.419860,0.293297,236.000000,140.000000
0.000000,0.417427,0.348547,272.000000,151.000000
0.000000,0.416971,0.153462,194.000000,146.000000
0.000000,0.416892,0.242229,237.000000,159.000000
0.000000,0.415791,0.108549,193.000000,157.000000
0.000000,0.415043,0.205454,229.000000,140.000000
0.000000,0.413540,0.102170,172.000000,130.000000
0.000000,0.413266,0.287539,263.000000,148.000000
0.000000,0.411844,0.042632,186.000000,168.000000
0.000000,0.410813,0.393289,298.000000,158.000000
0.000000,0.408642,0.349322,293.000000,162.000000
0.000000,0.408600,0.142244,178.000000,135.000000
0.000000,0.407909,0.052038,158.000000,147.000000
0.000000,0.407156,0.140965,202.000000,146.000000
0.000000,0.406203,0.253620,236.000000,151.000000
0.000000,0.404747,0.079063,180.000000,146.000000
0.000000,0.404025,0.149978,221.000000,166.000000
0.000000,0.403942,0.351466,281.000000,152.000000
0.000000,0.403863,0.073914,186.000000,152.000000
0.000000,0.403546,0.034381,180.000000,167.000000
0.000000,0.403079,0.197334,242.000000,179.000000
0.000000,0.403043,0.138213,202.000000,150.000000
0.000000,0.402337,0.289887,239.000000,134.000000
0.000000,0.401334,0.136018,197.000000,153.000000
0.000000,0.400977,0.251835,199.000000,125.000000
0.000000,0.400816,0.389520,282.000000,149.000000
0.000000,0.399611,0.059817,181.000000,155.000000
0.000000,0.399408,0.096558,174.000000,138.000000
0.000000,0.398996,0.011083,142.000000,134.000000
0.000000,0.397359,0.082693,176.000000,151.000000
0.000000,0.396966,0.088789,147.000000,121.000000
0.000000,0.396410,0.110364,179.000000,136.000000
0.000000,0.395850,0.120655,189.000000,143.000000
0.000000,0.394720,0.261832,230.000000,145.000000
0.000000,0.393716,0.233243,224.000000,138.000000
0.000000,0.393497,0.052944,162.000000,131.000000
0.000000,0.392250,0.030373,151.000000,141.000000
0.000000,0.391421,0.484076,299.000000,134.000000
0.000000,0.390746,0.255095,230.000000,137.000000
0.000000,0.390201,0.102453,172.000000,139.000000
0.000000,0.389054,0.133658,172.000000,131.000000
0.000000,0.388937,0.253121,255.000000,158.000000
0.000000,0.388897,0.065614,164.000000,134.000000
0.000000,0.387832,0.216104,238.000000,154.000000
0.000000,0.387396,0.285724,238.000000,143.000000
0.000000,0.386613,0.712638,391.000000,133.000000
0.000000,0.385370,0.124769,174.000000,129.000000
0.000000,0.383303,0.180494,196.000000,136.000000
0.000000,0.383007,0.258292,239.000000,141.000000
0.000000,0.382283,0.880563,471.000000,157.000000
0.000000,0.382226,0.090624,179.000000,146.000000
0.000000,0.381430,0.107429,180.000000,145.000000
0.000000,0.380718,0.187070,236.000000,148.000000
0.000000,0.380205,0.163854,211.000000,145.000000
0.000000,0.379830,0.013888,118.000000,110.000000
0.000000,0.379472,0.048137,151.000000,138.000000
0.000000,0.379303,0.447845,308.000000,136.000000
0.000000,0.377650,0.091361,172.000000,136.000000
0.000000,0.376196,0.122272,192.000000,148.000000
0.000000,0.375336,0.076670,153.000000,122.000000
0.000000,0.374425,0.159552,189.000000,131.000000
0.000000,0.373616,0.116904,153.000000,114.000000
0.000000,0.373154,0.074189,178.000000,148.000000
0.000000,0.373012,0.173576,211.000000,139.000000
0.000000,0.372360,0.084943,156.000000,122.000000
0.000000,0.372065,0.221230,179.000000,118.000000
0.000000,0.371718,0.219866,220.000000,137.000000
0.000000,0.371042,0.092221,194.000000,156.000000
0.000000,0.370215,0.427265,277.000000,141.000000
0.000000,0.369967,0.091522,160.000000,132.000000
0.000000,0.368936,0.411814,274.000000,131.000000
0.000000,0.367121,0.308094,276.000000,154.000000
0.000000,0.365590,0.377079,247.000000,126.000000
0.000000,0.365555,0.714285,409.000000,151.000000
0.000000,0.365427,0.053639,164.000000,148.000000
0.000000,0.364891,0.242463,194.000000,112.000000
0.000000,0.364672,0.354526,253.000000,121.000000
0.000000,0.363928,0.212348,223.000000,152.000000
0.000000,0.363492,0.226525,188.000000,113.000000
0.000000,0.363442,0.457747,288.000000,131.000000
0.000000,0.362860,0.294046,222.000000,129.000000
0.000000,0.362543,0.317339,247.000000,139.000000
0.000000,0.362420,0.173527,221.000000,151.000000
0.000000,0.362052,0.098914,178.000000,126.000000
0.000000,0.362015,0.161622,177.000000,121.000000
0.000000,0.361424,0.248424,211.000000,129.000000
0.000000,0.360359,0.223220,201.000000,130.000000
0.000000,0.359453,0.183609,179.000000,125.000000
0.000000,0.359079,0.195775,216.000000,142.000000
0.000000,0.358384,0.101901,173.000000,126.000000
0.000000,0.354883,0.164575,197.000000,136.000000
0.000000,0.354642,0.103761,146.000000,114.000000
0.000000,0.354639,0.292947,233.000000,131.000000
0.000000,0.354628,0.221463,205.000000,135.000000
0.000000,0.353559,0.433666,298.000000,135.000000
0.000000,0.353462,0.075348,150.000000,120.000000
0.000000,0.353337,0.179244,210.000000,137.000000
0.000000,0.353223,0.027861,152.000000,141.000000
1.000000,0.353057,0.202294,200.000000,129.000000
0.000000,0.351919,0.467221,313.000000,129.000000
0.000000,0.351768,0.081886,168.000000,131.000000
0.000000,0.351377,0.029334,139.000000,126.000000
0.000000,0.351304,0.075712,166.000000,138.000000
