seeking,r_new,r_old,tot_enc,tot_par
0.000000,0.343302,0.025096,147.000000,137.000000
0.000000,0.342570,0.038961,146.000000,133.000000
0.000000,0.341906,0.102001,185.000000,141.000000
0.000000,0.341708,0.188453,204.000000,129.000000
0.000000,0.341547,0.182385,196.000000,127.000000
0.000000,0.340924,0.055130,134.000000,118.000000
0.000000,0.340353,0.287078,256.000000,146.000000
0.000000,0.340255,0.414579,268.000000,123.000000
0.000000,0.339402,0.564912,318.000000,128.000000
0.000000,0.337352,0.290471,231.000000,117.000000
0.000000,0.336608,0.322095,225.000000,117.000000
0.000000,0.336103,0.134063,163.000000,112.000000
0.000000,0.335968,0.202114,204.000000,131.000000
1.000000,0.334794,0.105960,158.000000,125.000000
0.000000,0.334298,0.060679,149.000000,123.000000
0.000000,0.334046,0.213092,208.000000,135.000000
0.000000,0.333532,0.223455,198.000000,120.000000
0.000000,0.332196,0.287939,211.000000,98.000000
0.000000,0.332113,0.054752,119.000000,104.000000
0.000000,0.331962,0.115154,169.000000,123.000000
0.000000,0.331136,0.062410,149.000000,125.000000
0.000000,0.330827,0.092893,134.000000,102.000000
0.000000,0.330266,0.193252,180.000000,112.000000
0.000000,0.329799,0.140416,171.000000,122.000000
0.000000,0.329519,0.478491,285.000000,122.000000
0.000000,0.329332,0.093059,153.000000,114.000000
0.000000,0.328999,0.154567,191.000000,134.000000
0.000000,0.325581,0.145896,187.000000,125.000000
0.000000,0.325359,0.051434,134.000000,112.000000
0.000000,0.325041,0.011077,121.000000,118.000000
0.000000,0.324740,0.148944,170.000000,117.000000
0.000000,0.324033,0.089975,154.000000,133.000000
0.000000,0.323596,0.190221,175.000000,116.000000
0.000000,0.323307,0.637903,353.000000,117.000000
0.000000,0.323152,0.128210,181.000000,126.000000
0.000000,0.322682,0.014437,136.000000,127.000000
0.000000,0.322450,0.292455,204.000000,100.000000
0.000000,0.322299,0.118837,152.000000,95.000000
0.000000,0.320955,0.299630,235.000000,131.000000
0.000000,0.320307,0.135471,174.000000,120.000000
0.000000,0.319596,0.342164,244.000000,118.000000
0.000000,0.318667,0.063553,141.000000,109.000000
0.000000,0.318595,0.319902,228.000000,113.000000
0.000000,0.317699,0.077431,152.000000,123.000000
0.000000,0.317452,0.072056,150.000000,127.000000
0.000000,0.317159,0.091522,151.000000,123.000000
0.000000,0.315596,0.436113,280.000000,128.000000
0.000000,0.315482,0.220432,177.000000,117.000000
0.000000,0.313395,0.114298,171.000000,135.000000
0.000000,0.313350,0.195006,170.000000,106.000000
0.000000,0.313128,0.544506,309.000000,124.000000
0.000000,0.312583,0.318785,226.000000,105.000000
0.000000,0.312243,0.346569,252.000000,118.000000
0.000000,0.311081,0.056466,123.000000,105.000000
0.000000,0.310541,0.247716,206.000000,127.000000
0.000000,0.310529,0.606749,334.000000,116.000000
0.000000,0.310214,0.082884,148.000000,120.000000
0.000000,0.308861,0.088940,132.000000,94.000000
0.000000,0.308769,0.034028,134.000000,119.000000
0.000000,0.308660,0.115077,149.000000,113.000000
0.000000,0.308148,0.057926,146.000000,122.000000
0.000000,0.306748,0.422696,287.000000,128.000000
0.000000,0.306207,0.127789,164.000000,112.000000
0.000000,0.304898,0.129415,154.000000,106.000000
0.000000,0.304586,0.407776,237.000000,102.000000
0.000000,0.304400,0.219282,216.000000,135.000000
0.000000,0.304244,0.196724,178.000000,119.000000
0.000000,0.303989,0.258937,187.000000,98.000000
0.000000,0.303650,0.159272,166.000000,115.000000
0.000000,0.303422,0.455967,264.000000,104.000000
0.000000,0.303301,0.293585,199.000000,107.000000
0.000000,0.303289,0.231265,170.000000,98.000000
0.000000,0.303275,0.117162,172.000000,119.000000
0.000000,0.302801,0.310336,226.000000,122.000000
0.000000,0.302085,0.164329,161.000000,107.000000
0.000000,0.301751,0.096804,159.000000,116.000000
0.000000,0.301276,0.103205,173.000000,128.000000
0.000000,0.300516,0.154549,163.000000,114.000000
0.000000,0.299327,0.053094,135.000000,109.000000
0.000000,0.299254,0.140580,149.000000,100.000000
0.000000,0.298658,0.337047,248.000000,119.000000
0.000000,0.298423,0.188840,177.000000,106.000000
0.000000,0.297509,0.181458,174.000000,104.000000
0.000000,0.297210,0.217947,195.000000,107.000000
0.000000,0.296862,0.122713,155.000000,115.000000
0.000000,0.296635,0.159667,183.000000,115.000000
0.000000,0.296530,0.145175,164.000000,123.000000
0.000000,0.295609,0.289737,219.000000,111.000000
0.000000,0.295058,0.288180,227.000000,125.000000
0.000000,0.294951,0.061136,132.000000,103.000000
0.000000,0.294936,0.105401,162.000000,117.000000
0.000000,0.294799,0.080721,117.000000,96.000000
0.000000,0.293302,0.214004,213.000000,132.000000
0.000000,0.293165,0.118139,156.000000,112.000000
0.000000,0.293156,0.123278,157.000000,104.000000
0.000000,0.292937,0.106251,140.000000,101.000000
0.000000,0.292813,0.184820,185.000000,116.000000
0.000000,0.292386,0.022900,142.000000,126.000000
0.000000,0.292051,0.452937,264.000000,114.000000
0.000000,0.291747,0.239219,177.000000,101.000000
0.000000,0.289973,0.139711,156.000000,102.000000
0.000000,0.289441,0.008839,113.000000,111.000000
0.000000,0.289239,0.175933,179.000000,104.000000
0.000000,0.288971,0.042527,140.000000,116.000000
0.000000,0.288618,0.167067,176.000000,115.000000
0.000000,0.287512,0.071054,123.000000,96.000000
0.000000,0.287398,0.313782,201.000000,103.000000
0.000000,0.286943,0.064615,133.000000,107.000000
0.000000,0.286483,0.020425,102.000000,91.000000
0.000000,0.286120,0.069531,100.000000,85.000000
0.000000,0.285773,0.156528,152.000000,96.000000
0.000000,0.284935,0.376067,246.000000,110.000000
0.000000,0.284461,0.132022,150.000000,105.000000
0.000000,0.284249,0.257645,197.000000,105.000000
0.000000,0.284045,0.270913,217.000000,122.000000
0.000000,0.283709,0.135575,167.000000,114.000000
0.000000,0.283660,0.205141,172.000000,98.000000
0.000000,0.283515,0.072285,131.000000,95.000000
0.000000,0.282677,0.073806,112.000000,88.000000
0.000000,0.281403,0.075709,139.000000,104.000000
0.000000,0.280678,0.311343,234.000000,133.000000
0.000000,0.280524,0.361982,238.000000,115.000000
0.000000,0.280135,0.234272,204.000000,121.000000
0.000000,0.279612,0.027584,102.000000,93.000000
0.000000,0.279512,0.125479,159.000000,110.000000
0.000000,0.279458,0.227508,166.000000,95.000000
0.000000,0.279264,0.660099,345.000000,102.000000
0.000000,0.279178,0.424280,274.000000,117.000000
0.000000,0.277624,0.290610,202.000000,102.000000
0.000000,0.277479,0.242798,181.000000,100.000000
0.000000,0.277247,0.483413,297.000000,123.000000
0.000000,0.276044,0.137434,141.000000,93.000000
0.000000,0.275168,0.079397,133.000000,105.000000
0.000000,0.274033,0.020922,107.000000,101.000000
0.000000,0.273301,0.078186,134.000000,108.000000
0.000000,0.273135,0.142360,164.000000,106.000000
0.000000,0.273112,0.045783,113.000000,96.000000
0.000000,0.273101,0.056838,116.000000,100.000000
0.000000,0.272846,0.185907,154.000000,102.000000
0.000000,0.272640,0.064385,117.000000,87.000000
0.000000,0.272254,0.092544,126.000000,97.000000
0.000000,0.271925,0.072424,117.000000,88.000000
0.000000,0.271225,0.370917,231.000000,94.000000
0.000000,0.271107,0.143712,144.000000,107.000000
0.000000,0.270364,0.136987,151.000000,96.000000
0.000000,0.270313,0.199299,167.000000,100.000000
0.000000,0.269475,0.094056,110.000000,81.000000
0.000000,0.268734,0.436458,289.000000,116.000000
0.000000,0.268402,0.145965,137.000000,92.000000
0.000000,0.267725,0.310246,207.000000,109.000000
0.000000,0.266888,1.021189,460.000000,102.000000
0.000000,0.266432,0.025294,117.000000,108.000000
0.000000,0.265951,0.485635,317.000000,121.000000
0.000000,0.265648,0.123480,143.000000,106.000000
0.000000,0.264999,0.334389,237.000000,104.000000
0.000000,0.264955,0.108172,104.000000,76.000000
0.000000,0.264902,0.416256,246.000000,107.000000
0.000000,0.264424,0.080253,116.000000,98.000000
0.000000,0.263610,0.158101,163.000000,107.000000
0.000000,0.263104,0.214845,178.000000,95.000000
0.000000,0.263035,0.124564,132.000000,89.000000
0.000000,0.262757,0.228299,155.000000,76.000000
0.000000,0.262441,0.075028,107.000000,84.000000
0.000000,0.261473,0.134031,145.000000,105.000000
0.000000,0.261276,0.098454,132.000000,97.000000
0.000000,0.261082,0.161492,151.000000,95.000000
0.000000,0.261075,0.827411,415.000000,113.000000
0.000000,0.260994,0.229363,191.000000,111.000000
0.000000,0.260651,0.062737,119.000000,96.000000
0.000000,0.260242,0.059679,121.000000,97.000000
0.000000,0.260183,0.047759,116.000000,97.000000
0.000000,0.259503,0.113192,149.000000,111.000000
0.000000,0.259500,0.199232,167.000000,104.000000
0.000000,0.259174,0.063356,139.000000,108.000000
0.000000,0.258696,0.175534,154.000000,90.000000
0.000000,0.257370,0.327783,225.000000,104.000000
0.000000,0.257326,0.177869,143.000000,86.000000
0.000000,0.257116,0.083588,130.000000,95.000000
0.000000,0.257082,0.161692,151.000000,95.000000
0.000000,0.256902,0.368041,217.000000,94.000000
0.000000,0.256482,0.047918,109.000000,91.000000
0.000000,0.256359,0.031329,104.000000,97.000000
0.000000,0.254065,0.152900,155.000000,93.000000
0.000000,0.253343,0.074272,126.000000,100.000000
0.000000,0.253071,0.133622,127.000000,79.000000
0.000000,0.252948,0.260047,185.000000,103.000000
0.000000,0.252800,0.481671,239.000000,86.000000
0.000000,0.252296,0.126667,130.000000,99.000000
0.000000,0.251052,0.151087,133.000000,84.000000
0.000000,0.251019,0.294179,192.000000,89.000000
0.000000,0.250671,0.170757,117.000000,63.000000
0.000000,0.250312,0.013044,106.000000,100.000000
