seeking,r_new,r_old,tot_enc,tot_par
0.000000,0.480594,0.328901,295.000000,171.000000
0.000000,0.480287,0.032288,173.000000,165.000000
0.000000,0.480026,0.242364,259.000000,171.000000
0.000000,0.479890,0.381145,301.000000,170.000000
0.000000,0.479512,0.283355,282.000000,167.000000
0.000000,0.479304,0.363470,306.000000,174.000000
0.000000,0.478851,0.020652,178.000000,164.000000
0.000000,0.478127,0.260811,267.000000,174.000000
0.000000,0.475425,0.226967,244.000000,154.000000
0.000000,0.475160,0.023561,188.000000,178.000000
0.000000,0.475057,0.142825,248.000000,195.000000
0.000000,0.474103,0.179462,238.000000,174.000000
0.000000,0.473228,0.201752,250.000000,176.000000
0.000000,0.472145,0.192674,243.000000,172.000000
0.000000,0.471350,0.301620,277.000000,153.000000
0.000000,0.469732,0.082008,156.000000,134.000000
0.000000,0.469382,0.079701,191.000000,153.000000
0.000000,0.466107,0.194778,271.000000,194.000000
0.000000,0.464881,0.391412,331.000000,170.000000
0.000000,0.464488,0.268461,259.000000,162.000000
0.000000,0.464445,0.147424,208.000000,146.000000
0.000000,0.462094,0.109597,205.000000,150.000000
0.000000,0.461523,0.182621,220.000000,154.000000
0.000000,0.461423,0.103113,211.000000,172.000000
0.000000,0.460523,0.280878,269.000000,170.000000
0.000000,0.458800,0.365620,285.000000,163.000000
0.000000,0.457735,0.191541,226.000000,162.000000
0.000000,0.457193,0.293953,268.000000,149.000000
0.000000,0.455698,0.405968,300.000000,162.000000
0.000000,0.455420,0.154910,226.000000,172.000000
0.000000,0.454674,0.149818,192.000000,147.000000
0.000000,0.453458,0.748465,429.000000,161.000000
0.000000,0.453441,0.401867,303.000000,152.000000
0.000000,0.450405,0.245565,247.000000,160.000000
0.000000,0.450239,0.160865,196.000000,147.000000
0.000000,0.448976,0.064881,174.000000,155.000000
0.000000,0.446516,0.155418,211.000000,167.000000
0.000000,0.445976,0.143499,240.000000,183.000000
0.000000,0.445878,0.045603,188.000000,170.000000
0.000000,0.441769,0.034383,159.000000,147.000000
0.000000,0.441248,0.253320,267.000000,176.000000
0.000000,0.439735,0.171742,207.000000,151.000000
0.000000,0.439591,0.145864,223.000000,165.000000
0.000000,0.437879,0.180606,215.000000,153.000000
0.000000,0.436979,0.137377,189.000000,144.000000
0.000000,0.436761,0.174394,232.000000,159.000000
0.000000,0.436029,0.058398,182.000000,160.000000
0.000000,0.432457,0.115665,173.000000,144.000000
0.000000,0.431904,0.196815,233.000000,146.000000
0.000000,0.430313,0.494166,328.000000,165.000000
0.000000,0.429141,0.237584,250.000000,163.000000
0.000000,0.428834,0.306775,266.000000,160.000000
0.000000,0.427462,0.180522,228.000000,141.000000
0.000000,0.427436,0.152159,224.000000,157.000000
0.000000,0.425915,0.208209,221.000000,147.000000
0.000000,0.425863,0.334261,281.000000,167.000000
0.000000,0.425093,0.089332,169.000000,131.000000
0.000000,0.424511,0.535128,375.000000,169.000000
0.000000,0.423674,0.135847,201.000000,145.000000
0.000000,0.423133,0.177988,244.000000,178.000000
0.000000,0.421094,0.376594,293.000000,156.000000
0.000000,0.419286,0.124894,184.000000,147.000000
0.000000,0.419199,0.076341,175.000000,142.000000
0.000000,0.417488,0.171546,242.000000,171.000000
