country,reference_date,Rt
Europe,2022-05-05,4.701892250275333
Europe,2022-05-06,4.656381389660083
Europe,2022-05-07,4.596279638587509
Europe,2022-05-08,4.5215869970576055
Europe,2022-05-09,4.432303465070375
Europe,2022-05-10,4.328429042625818
Europe,2022-05-11,4.209963729723934
Europe,2022-05-12,4.076907526364724
Europe,2022-05-13,3.929260432548185
Europe,2022-05-14,3.7670224482743198
Europe,2022-05-15,3.5901935735431265
Europe,2022-05-16,3.399563706441286
Europe,2022-05-17,3.199872235488874
Europe,2022-05-18,2.9919090587725674
Europe,2022-05-19,2.7756741762923682
Europe,2022-05-20,2.5511675880482767
Europe,2022-05-21,2.3183892940402924
Europe,2022-05-22,2.0773392942684143
Europe,2022-05-23,1.8360996154123694
Europe,2022-05-24,1.643162417550511
Europe,2022-05-25,1.5066097273625647
Europe,2022-05-26,1.4264415448485306
Europe,2022-05-27,1.4026578700084085
Europe,2022-05-28,1.4352587028421988
Europe,2022-05-29,1.5242440433499012
Europe,2022-05-30,1.6590360163806532
Europe,2022-05-31,1.77616737102928
Europe,2022-06-01,1.8650602321449181
Europe,2022-06-02,1.9257145997275682
Europe,2022-06-03,1.95813047377723
Europe,2022-06-04,1.9623078542939036
Europe,2022-06-05,1.938246741277589
Europe,2022-06-06,1.8896302814814694
Europe,2022-06-07,1.838557355424645
Europe,2022-06-08,1.7887111098602986
Europe,2022-06-09,1.7400915447884304
Europe,2022-06-10,1.69269866020904
Europe,2022-06-11,1.646532456122128
Europe,2022-06-12,1.6015929325276936
Europe,2022-06-13,1.5577787958923424
Europe,2022-06-14,1.514482285015701
Europe,2022-06-15,1.4716021063643738
Europe,2022-06-16,1.429138259938361
Europe,2022-06-17,1.387090745737663
Europe,2022-06-18,1.345459563762279
Europe,2022-06-19,1.3042447140122095
Europe,2022-06-20,1.2644450715783366
Europe,2022-06-21,1.2320538870059552
Europe,2022-06-22,1.2080700353859464
Europe,2022-06-23,1.192493516718311
Europe,2022-06-24,1.1853243310030486
Europe,2022-06-25,1.1865624782401596
Europe,2022-06-26,1.1962079584296434
Europe,2022-06-27,1.2127927037709758
Europe,2022-06-28,1.22750830746101
Europe,2022-06-29,1.238886701699221
Europe,2022-06-30,1.2469278864856093
