R0_vals,k_vals,lq21_vals,median21_vals,uq21_vals,lq90_vals,median90_vals,uq90_vals,final_size,gen_time_vals
1.8590476512908936,0.6476278683830944,1.0,3.0,7.0,3.0,9.0,25.0,tensor(0.0707),17.029441833496094
2.366812229156494,0.6657178965856264,1.0,3.0,7.0,3.0,9.0,24.0,tensor(0.0705),16.69468116760254
1.964566946029663,0.5808647602555503,1.0,3.0,7.0,3.0,8.0,24.0,tensor(0.0722),17.18610191345215
1.8634361028671265,0.5702603748876435,1.0,3.0,7.0,3.0,9.0,25.0,tensor(0.0677),16.517711639404297
2.046875,0.6507157976895858,1.0,3.0,7.0,3.0,8.0,24.0,tensor(0.0706),16.836137771606445
1.751937985420227,0.7085660775197989,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0682),16.532617568969727
2.1283421516418457,0.6471777628584687,1.0,3.0,7.0,3.0,9.0,24.0,tensor(0.0683),16.714412689208984
1.9450000524520874,0.6459507186214702,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0723),16.858928680419922
1.7992957830429077,0.5374017628084741,1.0,3.0,6.0,3.0,8.0,24.0,tensor(0.0705),16.934322357177734
2.058375597000122,0.8115134648314848,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0698),16.606372833251953
2.1593406200408936,0.6377741839873198,1.0,3.0,7.0,3.0,9.0,24.0,tensor(0.0697),17.17833137512207
2.1338798999786377,0.7912141122551345,1.0,3.0,7.0,3.0,9.0,25.0,tensor(0.0704),16.857267379760742
1.855491280555725,0.5813501957705793,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0672),16.411916732788086
1.7348836660385132,0.5040458407099512,1.0,3.0,7.0,2.0,8.0,24.0,tensor(0.0708),16.671451568603516
1.5029940605163574,0.6683631305985507,1.0,3.0,6.0,2.0,8.0,24.0,tensor(0.0704),17.03215980529785
1.9777777194976807,0.4550140454342029,1.0,3.0,7.0,3.0,9.0,25.0,tensor(0.0679),16.75841522216797
1.8189655542373657,0.6570570455700577,1.0,3.0,7.0,3.0,9.0,24.0,tensor(0.0699),16.707788467407227
2.0950703620910645,0.6254358759707533,1.0,3.0,7.0,3.0,9.0,24.0,tensor(0.0701),17.15683364868164
1.7761905193328857,0.5040875943541611,1.0,3.0,7.0,3.0,9.0,24.0,tensor(0.0660),16.910587310791016
2.182389974594116,0.5362180781022049,1.0,3.0,7.0,2.0,9.0,24.0,tensor(0.0690),17.14304542541504
2.0671937465667725,0.6551478644778783,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0697),17.142440795898438
2.0032362937927246,0.5916321338403889,1.0,3.0,6.0,2.0,8.0,24.0,tensor(0.0720),16.994924545288086
1.8405797481536865,0.587684178549746,1.0,3.0,7.0,3.0,9.0,24.0,tensor(0.0682),16.276288986206055
2.2432432174682617,0.694974784802666,1.0,3.0,7.0,3.0,9.0,24.5,tensor(0.0698),16.52226448059082
1.9710144996643066,0.7131469866401279,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0680),16.40929412841797
2.155172348022461,0.822274439042266,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0689),16.842912673950195
2.0,0.6886719550818797,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0692),16.881929397583008
2.0650887489318848,0.6848066086296868,1.0,3.0,7.0,3.0,9.0,24.0,tensor(0.0671),16.54713249206543
2.214057445526123,0.673008357462572,1.0,3.0,6.0,3.0,9.0,24.0,tensor(0.0723),16.6558895111084
1.8759124279022217,0.7632277388152423,1.0,3.0,6.0,3.0,8.0,24.0,tensor(0.0724),16.624088287353516
