R0_vals,k_vals,lq21_vals,median21_vals,uq21_vals,lq90_vals,median90_vals,uq90_vals,final_size,gen_time_vals
1.9921875,0.5124067675776796,1.0,2.0,6.0,2.0,5.0,17.0,tensor(0.1109),15.218509674072266
2.0349650382995605,0.5499022649574988,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1129),15.250134468078613
1.8189300298690796,0.593573585369288,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1103),15.298436164855957
1.7587252855300903,0.6211752767767884,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1161),15.294195175170898
1.9163497686386108,0.5594967457178838,1.0,2.0,6.0,2.0,5.0,17.0,tensor(0.1095),15.185401916503906
1.92277991771698,0.5782518701789768,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1113),15.332664489746094
2.086805582046509,0.7192380238121501,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1109),14.938112258911133
1.8842592239379883,0.4599522523782502,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1129),15.410595893859863
1.9671716690063477,0.6295668451483075,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1181),15.247549057006836
1.953815221786499,0.6534415074875384,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1145),15.07401180267334
1.9090908765792847,0.5715118226399577,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1144),15.13735580444336
1.8494423627853394,0.6424655206733192,1.0,2.0,6.0,2.0,5.0,17.0,tensor(0.1119),14.864852905273438
2.1818182468414307,0.7032183836940092,1.0,2.0,6.0,2.0,5.0,17.0,tensor(0.1121),15.06338882446289
2.008791208267212,0.7192504839890156,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1125),14.996661186218262
2.118279457092285,0.8595659852698228,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1105),15.085538864135742
1.7491856813430786,0.6650795007943844,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1164),15.14953327178955
2.119999885559082,0.551154970921616,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1127),15.13458251953125
2.2173912525177,0.6496518085660221,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1139),15.245877265930176
2.233644962310791,0.5124972645669505,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1144),15.345908164978027
2.0956175327301025,0.8259502205042499,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1128),15.145390510559082
1.8249157667160034,0.5918889905557513,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1123),14.914580345153809
1.6724138259887695,0.5244174321316234,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1132),15.304374694824219
2.0488598346710205,0.456832971671409,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1134),15.329573631286621
2.1845102310180664,0.4887523090484947,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1153),15.527946472167969
1.8129032850265503,0.8020850923668205,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1181),15.246498107910156
1.8072916269302368,0.390683508864882,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1097),15.226696014404297
2.105839490890503,0.663658331786719,1.0,2.0,6.0,2.0,5.0,17.0,tensor(0.1076),15.047277450561523
1.9535353183746338,0.6862791919538883,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1112),15.121644020080566
2.016528844833374,0.5096264715496415,1.0,2.0,6.0,2.0,5.0,16.0,tensor(0.1123),15.271354675292969
1.3698630332946777,0.9316252239142145,1.0,2.0,6.0,2.0,5.0,17.0,tensor(0.1100),14.970659255981445
